verbatim_name,verbatim_aphia_id,accepted_name,aphia_id,SpecCode,kingdom,phylum,class,order,family,genus,rank
ARGENTINA SILUS,NA,Argentina silus,126715,2700,Animalia,Chordata,Teleostei,Argentiniformes,Argentinidae,Argentina,Species
MYCTOPHIDAE,NA,Myctophidae,125498,NA,Animalia,Chordata,Teleostei,Myctophiformes,Myctophidae,NA,Family
ENCHELYOPUS CIMBRIUS,NA,Enchelyopus cimbrius,126450,1874,Animalia,Chordata,Teleostei,Gadiformes,Lotidae,Enchelyopus,Species
PONTINUS LONGISPINIS,NA,Pontinus longispinis,159555,3931,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Pontinus,Species
SCYLIORHINUS RETIFER,NA,Scyliorhinus retifer,158516,853,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,Species
MERLUCCIUS ALBIDUS,NA,Merluccius albidus,158748,1080,Animalia,Chordata,Teleostei,Gadiformes,Merlucciidae,Merluccius,Species
MELANOGRAMMUS AEGLEFINUS,NA,Melanogrammus aeglefinus,126437,1381,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Melanogrammus,Species
SPHOEROIDES MACULATUS,NA,Sphoeroides maculatus,158934,1181,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Sphoeroides,Species
CONGER OCEANICUS,NA,Conger oceanicus,158566,300,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Conger,Species
OPHICHTHUS CRUENTIFER,NA,Ophichthus cruentifer,158644,2654,Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,Ophichthus,Species
UROPHYCIS SP,NA,Urophycis,125774,NA,Animalia,Chordata,Teleostei,Gadiformes,Phycidae,Urophycis,Genus
TRACHURUS LATHAMI,NA,Trachurus lathami,159655,369,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,Species
TORPEDO NOBILIANA,NA,Tetronarce nobiliana,321911,2553,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,Species
ANGUILLIFORMES,NA,Anguilliformes,10295,NA,Animalia,Chordata,Teleostei,Anguilliformes,NA,NA,Order
RAJA SP,NA,Raja,105766,NA,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,Genus
ALOSA AESTIVALIS,NA,Alosa aestivalis,158667,1574,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Alosa,Species
