verbatim_name,verbatim_aphia_id,accepted_name,aphia_id,SpecCode,kingdom,phylum,class,order,family,genus,rank
HOWELLA SHERBORNI,NA,Howella sherborni,126995,5054,Animalia,Chordata,Teleostei,Acropomatiformes,Howellidae,Howella,Species
PARASUDIS TRUCULENTA,NA,Parasudis truculenta,158868,2726,Animalia,Chordata,Teleostei,Aulopiformes,Chlorophthalmidae,Parasudis,Species
CARCHARHINUS SIGNATUS,NA,Carcharhinus signatus,105798,883,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Species
BALISTES CAPRISCUS,NA,Balistes capriscus,154721,7327,Animalia,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,Species
SYNGNATHUS FUSCUS,NA,Syngnathus fuscus,159451,3301,Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Syngnathus,Species
DIBRANCHUS ATLANTICUS,NA,Dibranchus atlanticus,126558,4956,Animalia,Chordata,Teleostei,Lophiiformes,Ogcocephalidae,Dibranchus,Species
MENIDIA MENIDIA,NA,Menidia menidia,159228,339,Animalia,Chordata,Teleostei,Atheriniformes,Atherinopsidae,Menidia,Species
ALEPISAURUS FEROX,NA,Alepisaurus ferox,126333,99,Animalia,Chordata,Teleostei,Aulopiformes,Alepisauridae,Alepisaurus,Species
SCOMBEROMORUS MACULATUS,NA,Scomberomorus maculatus,159342,126,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomberomorus,Species
SYNODONTIDAE,NA,Synodontidae,125449,NA,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,NA,Family
ANCHOA MITCHILLI,NA,Anchoa mitchilli,158699,545,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,Species
LEIOSTOMUS XANTHURUS,NA,Leiostomus xanthurus,159322,429,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Leiostomus,Species
ANTIGONIA CAPROS,NA,Antigonia capros,127418,3258,Animalia,Chordata,Teleostei,Acanthuriformes,Antigoniidae,Antigonia,Species
STOMIAS BOA,NA,Stomias boa,127374,1806,Animalia,Chordata,Teleostei,Stomiiformes,Stomiidae,Stomias,Species
CENTROPRISTIS PHILADELPHICA,NA,Centropristis philadelphica,159347,3317,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Centropristis,Species
GYMNURA MICRURA,NA,Gymnura micrura,158529,2579,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,Species
MENTICIRRHUS SAXATILIS,NA,Menticirrhus saxatilis,159329,410,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Menticirrhus,Species
MULLUS AURATUS,NA,Mullus auratus,159418,1093,Animalia,Chordata,Teleostei,Mulliformes,Mullidae,Mullus,Species
ORTHOPRISTIS CHRYSOPTERA,NA,Orthopristis chrysoptera,158810,5,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Orthopristis,Species
PORICHTHYS PLECTRODON,NA,Porichthys plectrodon,158784,3072,Animalia,Chordata,Teleostei,Batrachoidiformes,Batrachoididae,Porichthys,Species
PRIONOTUS SCITULUS,NA,Prionotus scitulus,159575,4027,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
SCORPAENIDAE,NA,Scorpaenidae,125595,NA,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,NA,Family
STENOTOMUS CAPRINUS,NA,Stenotomus caprinus,159810,1234,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Stenotomus,Species
GERREIDAE,NA,Gerreidae,151456,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Gerreidae,NA,Family
LACHNOLAIMUS MAXIMUS,NA,Lachnolaimus maximus,158822,1071,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Lachnolaimus,Species
MENTICIRRHUS AMERICANUS,NA,Menticirrhus americanus,159326,409,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Menticirrhus,Species
PARALICHTHYS SP,NA,Paralichthys,158823,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Paralichthys,Genus
RACHYCENTRON CANADUM,NA,Rachycentron canadum,127006,3542,Animalia,Chordata,Teleostei,Carangiformes,Rachycentridae,Rachycentron,Species
SYNODUS FOETENS,NA,Synodus foetens,158758,2719,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Synodus,Species
ALUTERUS SCRIPTUS,NA,Aluterus scriptus,159491,4275,Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Aluterus,Species
CHILOMYCTERUS SCHOEPFI,NA,Chilomycterus schoepfii,159488,6407,Animalia,Chordata,Teleostei,Tetraodontiformes,Diodontidae,Chilomycterus,Species
LAGODON RHOMBOIDES,NA,Lagodon rhomboides,159249,3576,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Lagodon,Species
OPHIDION HOLBROOKI,NA,Ophidion holbrookii,272824,3113,Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Ophidion,Species
PRIONOTUS TRIBULUS,NA,Prionotus tribulus,159577,4030,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
SPHOEROIDES DORSALIS,NA,Sphoeroides dorsalis,275274,4294,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Sphoeroides,Species
CHAETODIPTERUS FABER,NA,Chaetodipterus faber,159703,1024,Animalia,Chordata,Teleostei,Acanthuriformes,Ephippidae,Chaetodipterus,Species
SYACIUM PAPILLOSUM,NA,Syacium papillosum,158878,4233,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Syacium,Species
TRACHINOCEPHALUS MYOPS,NA,Trachinocephalus myops,158884,2724,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Trachinocephalus,Species
LARIMUS FASCIATUS,NA,Larimus fasciatus,159320,1182,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Larimus,Species
TRIGLIDAE,NA,Triglidae,125598,NA,Animalia,Chordata,Teleostei,Perciformes,Triglidae,NA,Family
CENTROPRISTIS OCYURUS,NA,Centropristis ocyurus,159346,3316,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Centropristis,Species
DIPLECTRUM FORMOSUM,NA,Diplectrum formosum,159350,1203,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Diplectrum,Species
DIPLODUS HOLBROOKI,NA,Diplodus holbrookii,273972,1231,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Diplodus,Species
EQUETUS UMBROSUS,NA,Pareques umbrosus,282143,3586,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Equetus,Species
HAEMULIDAE,NA,Haemulidae,125538,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,NA,Family
PAGRUS SEDECIM,NA,Pagrus pagrus,127063,1756,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Pagrus,Species
RHOMBOPLITES AURORUBENS,NA,Rhomboplites aurorubens,159807,213,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Rhomboplites,Species
SPARIDAE,NA,Sparidae,125564,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,NA,Family
HAEMULON AUROLINEATUM,NA,Haemulon aurolineatum,158807,1128,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,Species
HAEMULON PLUMIERI,NA,Haemulon plumierii,158808,1140,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Haemulidae,Haemulon,Species
REMORA REMORA,NA,Remora remora,126853,1751,Animalia,Chordata,Teleostei,Carangiformes,Echeneidae,Remora,Species
CALAMUS LEUCOSTEUS,NA,Calamus leucosteus,275970,1225,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Calamus,Species
SERRANUS PHOEBE,NA,Serranus phoebe,273903,3347,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Serranus,Species
BELLATOR EGRETTA,NA,Bellator egretta,276272,4013,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Bellator,Species
CHAETODON OCELLATUS,NA,Chaetodon ocellatus,159662,3604,Animalia,Chordata,Teleostei,Acanthuriformes,Chaetodontidae,Chaetodon,Species
EQUETUS LANCEOLATUS,NA,Eques lanceolatus,1389965,3584,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Equetus,Species
FISTULARIA SP,NA,Fistularia,159438,NA,Animalia,Chordata,Teleostei,Syngnathiformes,Fistulariidae,Fistularia,Genus
GYMNOTHORAX NIGROMARGINATUS,NA,Gymnothorax nigromarginatus,271860,2615,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax,Species
SARDINELLA AURITA,NA,Sardinella aurita,126422,1043,Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Sardinella,Species
SCARIDAE,NA,Scaridae,125557,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Scaridae,NA,Family
SPHOEROIDES SPENGLERI,NA,Sphoeroides spengleri,158935,1241,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Sphoeroides,Species
ALECTIS CILIARIS,NA,Alectis ciliaris,159629,988,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Alectis,Species
CALAMUS CALAMUS,NA,Calamus calamus,159242,1222,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Calamus,Species
LACTOPHRYS QUADRICORNIS,NA,Acanthostracion quadricornis,158920,92,Animalia,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Lactophrys,Species
OPHICHTHIDAE,NA,Ophichthidae,125434,NA,Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,NA,Family
CYCLOPSETTA FIMBRIATA,NA,Cyclopsetta fimbriata,158795,4219,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Cyclopsetta,Species
GYMNOTHORAX MORINGA,NA,Gymnothorax moringa,158584,7547,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,Gymnothorax,Species
HOLACANTHUS BERMUDENSIS,NA,Holacanthus bermudensis,159284,3608,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,Species
SCORPAENA PLUMIERI,NA,Scorpaena plumieri,159564,1201,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,Species
ARCHOSARGUS PROBATOCEPHALUS,NA,Archosargus probatocephalus,159238,441,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Archosargus,Species
URANOSCOPIDAE,NA,Uranoscopidae,125573,NA,Animalia,Chordata,Teleostei,Perciformes,Uranoscopidae,NA,Family
ANCHOA LYOLEPIS,NA,Anchoa lyolepis,275524,1132,Animalia,Chordata,Teleostei,Clupeiformes,Engraulidae,Anchoa,Species
OPISTHONEMA OGLINUM,NA,Opisthonema oglinum,158695,1486,Animalia,Chordata,Teleostei,Clupeiformes,Dorosomatidae,Opisthonema,Species
SPHYRAENA BARRACUDA,NA,Sphyraena barracuda,345843,1235,Animalia,Chordata,Teleostei,Carangaria incertae sedis,Sphyraenidae,Sphyraena,Species
CITHARICHTHYS MACROPS,NA,Citharichthys macrops,159165,4214,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,Species
HEMIPTERONOTUS NOVACULA,NA,Xyrichtys novacula,126971,4581,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Hemipteronotus,Species
CHAETODON SEDENTARIUS,NA,Chaetodon sedentarius,234107,3605,Animalia,Chordata,Teleostei,Acanthuriformes,Chaetodontidae,Chaetodon,Species
LUTJANUS CAMPECHANUS,NA,Lutjanus campechanus,159795,1423,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,Species
PRISTIGENYS ALTA,NA,Pristigenys alta,159295,3518,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Priacanthidae,Pristigenys,Species
ANCYLOPSETTA QUADROCELLATA,NA,Ancylopsetta quadrocellata,308768,4206,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Ancylopsetta,Species
ECHENEIS NAUCRATES,NA,Echeneis naucrates,126848,2467,Animalia,Chordata,Teleostei,Carangiformes,Echeneidae,Echeneis,Species
CHLOROSCOMBRUS CHRYSURUS,NA,Chloroscombrus chrysurus,159483,385,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Chloroscombrus,Species
PEPRILUS ALEPIDOTUS,NA,Peprilus paru,159827,28143,Animalia,Chordata,Teleostei,Scombriformes,Stromateidae,Peprilus,Species
ASTROSCOPUS Y-GRAECUM,NA,Astroscopus ygraecum,159252,3704,Animalia,Chordata,Teleostei,Perciformes,Uranoscopidae,Astroscopus,Species
ETROPUS SP,NA,Etropus,158797,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Etropus,Genus
SCOMBEROMORUS CAVALLA,NA,Scomberomorus cavalla,159340,120,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomberomorus,Species
BOTHUS OCELLATUS,NA,Bothus ocellatus,159275,4207,Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Bothus,Species
ECHIOPHIS INTERTINCTUS,NA,Echiophis intertinctus,158609,2643,Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,Echiophis,Species
ECHIOPHIS SP,NA,Echiophis,158607,NA,Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,Echiophis,Genus
SYMPHURUS UROSPILUS,NA,Symphurus urospilus,274281,4270,Animalia,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Symphurus,Species
DASYATIS SABINA,NA,Hypanus sabinus,1042864,2574,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Dasyatis,Species
HALICHOERES RADIATUS,NA,Halichoeres radiatus,275793,1068,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Halichoeres,Species
CARANX BARTHOLOMAEI,NA,Caranx bartholomaei,302312,1913,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,Species
BAIRDIELLA CHRYSOURA,NA,Bairdiella chrysoura,159303,1165,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Bairdiella,Species
CYNOSCION NOTHUS,NA,Cynoscion nothus,159305,1175,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Cynoscion,Species
OPHICHTHUS GOMESI,NA,Ophichthus gomesii,271955,1104,Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,Ophichthus,Species
TRINECTES MACULATUS,NA,Trinectes maculatus,159271,4260,Animalia,Chordata,Teleostei,Pleuronectiformes,Achiridae,Trinectes,Species
STRONGYLURA MARINA,NA,Strongylura marina,159256,974,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Strongylura,Species
SYMPHURUS PLAGIUSA,NA,Symphurus plagiusa,159363,1019,Animalia,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Symphurus,Species
ABLENNES HIANS,NA,Ablennes hians,159246,972,Animalia,Chordata,Teleostei,Beloniformes,Belonidae,Ablennes,Species
PRIONOTUS OPHRYAS,NA,Prionotus ophryas,159573,4022,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
SCOMBRIDAE,NA,Scombridae,125559,NA,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,NA,Family
PRIONOTUS RUBIO,NA,Prionotus rubio,276289,4025,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
HIPPOCAMPUS ERECTUS,NA,Hippocampus erectus,159445,3283,Animalia,Chordata,Teleostei,Syngnathiformes,Syngnathidae,Hippocampus,Species
PRIONOTUS ALATUS,NA,Prionotus alatus,159570,4020,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
SCIAENOPS OCELLATUS,NA,Sciaenops ocellatus,159335,1191,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Sciaenops,Species
SPHYRAENA GUACHANCHO,NA,Sphyraena guachancho,159814,1236,Animalia,Chordata,Teleostei,Carangaria incertae sedis,Sphyraenidae,Sphyraena,Species
TRICHIURUS LEPTURUS,NA,Trichiurus lepturus,127089,1288,Animalia,Chordata,Teleostei,Scombriformes,Trichiuridae,Trichiurus,Species
ARIUS FELIS,NA,Ariopsis felis,158709,947,Animalia,Chordata,Teleostei,Siluriformes,Ariidae,Arius,Species
HALIEUTICHTHYS ACULEATUS,NA,Halieutichthys aculeatus,159190,3091,Animalia,Chordata,Teleostei,Lophiiformes,Ogcocephalidae,Halieutichthys,Species
ACANTHURUS BAHIANUS,NA,Acanthurus bahianus,159578,68792,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Species
ALUTERUS MONOCEROS,NA,Aluterus monoceros,127407,4274,Animalia,Chordata,Teleostei,Tetraodontiformes,Monacanthidae,Aluterus,Species
OPHIDION GRAYI,NA,Ophidion grayi,272823,3112,Animalia,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Ophidion,Species
CARANX LATUS,NA,Caranx latus,126804,1935,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,Species
SPHYRNA MOKARRAN,NA,Sphyrna mokarran,105817,914,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Species
SPHYRNA TIBURO,NA,Sphyrna tiburo,158517,915,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,Species
BAGRE MARINUS,NA,Bagre marinus,158713,959,Animalia,Chordata,Teleostei,Siluriformes,Ariidae,Bagre,Species
LUTJANIDAE,NA,Lutjanidae,151453,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,NA,Family
MUGIL CUREMA,NA,Mugil curema,159416,1086,Animalia,Chordata,Teleostei,Mugiliformes,Mugilidae,Mugil,Species
CARCHARHINIDAE,NA,Carcharhinidae,105689,NA,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,NA,Family
MURAENIDAE,NA,Muraenidae,125431,NA,Animalia,Chordata,Teleostei,Anguilliformes,Muraenidae,NA,Family
OGCOCEPHALUS NASUTUS,NA,Ogcocephalus nasutus,275908,3092,Animalia,Chordata,Teleostei,Lophiiformes,Ogcocephalidae,Ogcocephalus,Species
LUTJANUS SYNAGRIS,NA,Lutjanus synagris,159800,181,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Lutjanidae,Lutjanus,Species
KATHETOSTOMA ALBIGUTTA,NA,Kathetostoma albigutta,159255,3706,Animalia,Chordata,Teleostei,Perciformes,Uranoscopidae,Kathetostoma,Species
SCOMBEROMORUS REGALIS,NA,Scomberomorus regalis,273819,134,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomberomorus,Species
PONTINUS RATHBUNI,NA,Pontinus rathbuni,159556,3933,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Pontinus,Species
SPHOEROIDES NEPHELUS,NA,Sphoeroides nephelus,275280,1240,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Sphoeroides,Species
SYNODUS INTERMEDIUS,NA,Synodus intermedius,158759,2720,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Synodus,Species
CANTHIGASTER ROSTRATA,NA,Canthigaster rostrata,127411,4291,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Canthigaster,Species
ARIOSOMA BALEARICUM,NA,Ariosoma balearicum,126283,1744,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,Ariosoma,Species
SERRANIDAE,NA,Serranidae,125561,NA,Animalia,Chordata,Teleostei,Perciformes,Serranidae,NA,Family
GYMNACHIRUS MELAS,NA,Gymnachirus melas,159269,4257,Animalia,Chordata,Teleostei,Pleuronectiformes,Achiridae,Gymnachirus,Species
ARIOMMA REGULUS,NA,Ariomma regulus,159594,962,Animalia,Chordata,Teleostei,Scombriformes,Ariommatidae,Ariomma,Species
PRIONOTUS ROSEUS,NA,Prionotus roseus,159574,4024,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
APOGON PSEUDOMACULATUS,NA,Apogon pseudomaculatus,159590,3530,Animalia,Chordata,Teleostei,Kurtiformes,Apogonidae,Apogon,Species
LABRIDAE,NA,Labridae,125541,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,NA,Family
OGCOCEPHALIDAE,NA,Ogcocephalidae,125495,NA,Animalia,Chordata,Teleostei,Lophiiformes,Ogcocephalidae,NA,Family
SCIAENIDAE,NA,Sciaenidae,125558,NA,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,NA,Family
BALISTES VETULA,NA,Balistes vetula,127397,19,Animalia,Chordata,Teleostei,Tetraodontiformes,Balistidae,Balistes,Species
BLENNIIDAE,NA,Blenniidae,125519,NA,Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,NA,Family
CALAMUS BAJONADO,NA,Calamus bajonado,159241,1221,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Calamus,Species
CHAETODON STRIATUS,NA,Chaetodon striatus,159663,3606,Animalia,Chordata,Teleostei,Acanthuriformes,Chaetodontidae,Chaetodon,Species
MYCTEROPERCA PHENAX,NA,Mycteroperca phenax,159233,1213,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Mycteroperca,Species
SYNODUS SYNODUS,NA,Synodus synodus,126373,2723,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Synodus,Species
BELLATOR BRACHYCHIR,NA,Bellator brachychir,276271,4012,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Bellator,Species
OPHICHTHUS PUNCTICEPS,NA,Ophichthus puncticeps,158646,2656,Animalia,Chordata,Teleostei,Anguilliformes,Ophichthidae,Ophichthus,Species
FOETOREPUS AGASSIZI,NA,Foetorepus agassizii,276339,10187,Animalia,Chordata,Teleostei,Callionymiformes,Callionymidae,Foetorepus,Species
HOLACANTHUS CILIARIS,NA,Holacanthus ciliaris,276012,3609,Animalia,Chordata,Teleostei,Acanthuriformes,Pomacanthidae,Holacanthus,Species
EPINEPHELUS MYSTACINUS,NA,Hyporthodus mystacinus,475099,1206,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Epinephelus,Species
SAURIDA NORMANI,NA,Saurida normani,272117,2718,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Saurida,Species
JENKINSIA LAMPROTAENIA,NA,Jenkinsia lamprotaenia,281198,1461,Animalia,Chordata,Teleostei,Clupeiformes,Spratelloididae,Jenkinsia,Species
ANCYLOPSETTA DILECTA,NA,Ancylopsetta dilecta,276008,4205,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Ancylopsetta,Species
LACTOPHRYS POLYGONIA,NA,Acanthostracion polygonium,1577312,4287,Animalia,Chordata,Teleostei,Tetraodontiformes,Ostraciidae,Lactophrys,Species
SYNODUS POEYI,NA,Synodus poeyi,158760,2722,Animalia,Chordata,Teleostei,Aulopiformes,Synodontidae,Synodus,Species
PERISTEDION GRACILE,NA,Peristedion gracile,159548,4017,Animalia,Chordata,Teleostei,Perciformes,Peristediidae,Peristedion,Species
ACANTHURUS CHIRURGUS,NA,Acanthurus chirurgus,159580,943,Animalia,Chordata,Teleostei,Acanthuriformes,Acanthuridae,Acanthurus,Species
BOTHUS LUNATUS,NA,Bothus lunatus,274187,978,Animalia,Chordata,Teleostei,Pleuronectiformes,Bothidae,Bothus,Species
CHROMIS ENCHRYSURUS,NA,Chromis enchrysurus,304153,3643,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Pomacentridae,Chromis,Species
HOLOCENTRUS ADSCENSIONIS,NA,Holocentrus adscensionis,159378,1061,Animalia,Chordata,Teleostei,Holocentriformes,Holocentridae,Holocentrus,Species
MYCTEROPERCA BONACI,NA,Mycteroperca bonaci,159231,1209,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Mycteroperca,Species
GASTROPSETTA FRONTALIS,NA,Gastropsetta frontalis,158820,4224,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Gastropsetta,Species
PRIONOTUS LONGISPINOSUS,NA,Prionotus longispinosus,276282,4026,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Prionotus,Species
TETRAODONTIDAE,NA,Tetraodontidae,125612,NA,Animalia,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,NA,Family
ANTENNARIUS RADIOSUS,NA,Fowlerichthys radiosus,712508,3087,Animalia,Chordata,Teleostei,Lophiiformes,Antennariidae,Antennarius,Species
CONGRIDAE,NA,Congridae,125427,NA,Animalia,Chordata,Teleostei,Anguilliformes,Congridae,NA,Family
BEMBROPS GOBIOIDES,NA,Bembrops gobioides,159843,3697,Animalia,Chordata,Teleostei,Perciformes,Bembropidae,Bembrops,Species
ANTIMORA ROSTRATA,NA,Antimora rostrata,126486,2005,Animalia,Chordata,Teleostei,Gadiformes,Moridae,Antimora,Species
PHYSICULUS FULVUS,NA,Physiculus fulvus,158987,28217,Animalia,Chordata,Teleostei,Gadiformes,Moridae,Physiculus,Species
HOPLOSTETHUS MEDITERRANEUS,NA,Hoplostethus mediterraneus,126404,4964,Animalia,Chordata,Teleostei,Trachichthyiformes,Trachichthyidae,Hoplostethus,Species
SPHYRAENA BOREALIS,NA,Sphyraena borealis,159813,3679,Animalia,Chordata,Teleostei,Carangaria incertae sedis,Sphyraenidae,Sphyraena,Species
RHIZOPRIONODON TERRAENOVAE,NA,Rhizoprionodon terraenovae,158510,905,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Rhizoprionodon,Species
PROMETHICHTHYS PROMETHEUS,NA,Promethichthys prometheus,126866,5008,Animalia,Chordata,Teleostei,Scombriformes,Gempylidae,Promethichthys,Species
CARANX HIPPOS,NA,Caranx hippos,126803,71,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Caranx,Species
MUGIL CEPHALUS,NA,Mugil cephalus,126983,785,Animalia,Chordata,Teleostei,Mugiliformes,Mugilidae,Mugil,Species
CORYPHAENA EQUISETIS,NA,Coryphaena equiselis,126845,7,Animalia,Chordata,Teleostei,Carangiformes,Coryphaenidae,Coryphaena,Species
CARCHARHINUS LIMBATUS,NA,Carcharhinus limbatus,105793,874,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,Species
CITHARICHTHYS SP,NA,Citharichthys,158786,NA,Animalia,Chordata,Teleostei,Pleuronectiformes,Paralichthyidae,Citharichthys,Genus
SYNAGROPS SPINOSUS,NA,Parascombrops spinosus,1486846,14336,Animalia,Chordata,Teleostei,Acropomatiformes,Acropomatidae,Synagrops,Species
XENOCEPHALUS EGREGIUS,NA,Xenocephalus egregius,394993,3705,Animalia,Chordata,Teleostei,Perciformes,Uranoscopidae,Xenocephalus,Species
ETMOPTERUS PRINCEPS,NA,Etmopterus princeps,105911,683,Animalia,Chordata,Elasmobranchii,Squaliformes,Etmopteridae,Etmopterus,Species
EPIGONUS PANDIONIS,NA,Epigonus pandionis,159706,10770,Animalia,Chordata,Teleostei,Acropomatiformes,Epigonidae,Epigonus,Species
POECILOPSETTA BEANI,NA,Poecilopsetta beanii,275847,58866,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Poecilopsetta,Species
GADELLA IMBERBIS,NA,Gadella imberbis,158964,2010,Animalia,Chordata,Teleostei,Gadiformes,Moridae,Gadella,Species
SARDA SARDA,NA,Sarda sarda,127021,115,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Sarda,Species
