Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLLA,Lakeland,28.0261,-81.8507,1977,15.5059,"HC, ",
FLSB,South Brevard County,27.8486,-80.5500,1117,32.8529,"HC, ",
TXFR,Freeport,29.0172,-95.3551,1028,2.9840,,
FLMR,Myakka River S.P.,27.2330,-82.2360,911,12.1305,"HC, ",
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,891,7.0157,,
FLST,Stuart,27.2121,-80.2624,834,3.7568,,
TXPM,Palmetto S.P.,29.5833,-97.5833,757,11.4697,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,741,5.6222,,
TRTR,Trinidad,10.6336,-61.3390,740,15.1020,,
TXVI,Victoria,28.8723,-97.0784,690,9.0492,,
FLEC,Econlockhatchee,28.7094,-81.1467,680,4.2368,"HC, ",
FLVE,Venice-Englewood,27.0048,-82.3793,637,4.1163,"HC, ",
TXGC,Gibbons Creek,30.5833,-96.0000,612,9.2447,"HC, ",
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,601,4.0067,,
VABL,Blacksburg,37.2153,-80.4690,562,3.5457,,
FLNA,Naples,26.1278,-81.7645,543,4.7968,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,534,6.5521,,
FLEM,Emeralda-Sunnyhill,28.9718,-81.8529,517,5.6503,,
TXNB,New Braunfels,29.7035,-98.1249,478,8.3566,,
TXBN,Burnet County,30.7514,-98.2750,478,5.1123,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,474,1.5721,,
FLCR,Crystal River,28.8712,-82.5776,458,6.3833,"HC, ",
FLKV,Kissimmee Valley,28.2062,-81.3936,414,5.1429,,
FLWV,West Volusia County,29.0543,-81.3039,411,7.2423,,
FLLP,Lake Placid,27.2601,-81.3441,400,3.3333,,
TXBO,Boerne,29.8666,-98.7901,390,4.5882,"HC, ",
ARMH,Mountain Home,36.3862,-92.4672,381,21.1667,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,375,2.7273,,
FLFP,Fort Pierce,27.4177,-80.3828,375,3.1315,"HC, ",
TXSB,San Bernard N.W.R.,28.8667,-95.5667,344,2.3930,,
TXAU,Austin,30.1834,-97.6980,333,2.4851,,
TXBF,Buffalo Bayou,29.7715,-95.5699,329,2.9051,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,307,3.3366,,
FLNP,North Pinellas,28.0672,-82.7388,296,3.5663,,
FLFK,Fakahatchee,26.1486,-81.4535,287,3.2800,,
TXAY,Armand Bayou,29.5498,-95.0489,283,2.9634,,
TXCK,Choke Canyon,28.4913,-98.3082,283,4.0429,,
TXBZ,Brazos Bend,29.3734,-95.6688,268,2.7347,,
MOTC,Taney County,36.6070,-93.1830,250,6.0241,,
BLPG,"Punta Gorda, Belize",16.1465,-88.8893,249,1.8043,,
TXSC,Spring Creek,30.1268,-95.4432,246,7.6875,,
TXST,San Antonio,29.3148,-98.6080,241,1.5574,,
VATP,The Plains,38.7833,-77.7555,239,1.4551,,
TXKI,Kingsville,27.4658,-97.8551,232,3.5152,"HC, ",
FLLW,Lake Wales,27.8939,-81.5189,231,1.9331,,
TXCA,Caddo National Grasslands,33.7405,-96.0024,231,4.9892,,
TXLK,Lake Tawakoni,32.7667,-95.9167,223,3.7797,,
TXCC,Corpus Christi,27.8334,-97.5833,222,1.7412,,
FLTT,Ten Thousand Islands,25.9500,-81.6200,220,2.0694,,
MDPL,Point Lookout,38.1061,-76.4212,219,2.1856,"HC, ",
FLCO,Cocoa,28.3622,-80.7026,218,1.6453,,
VAHO,Hopewell,37.3670,-77.2842,218,1.3436,,
TXOR,Old River,29.8667,-94.7333,205,2.7891,,
FLGA,Gainesville,29.6027,-82.3127,201,1.1167,,
VACL,Central Loudon,39.0905,-77.6198,201,1.2968,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,198,0.8646,,
FLSM,St. Marks,30.1536,-84.2227,198,2.3226,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,192,7.3846,,
MDSE,Seneca,39.0671,-77.3285,191,0.8611,,
