Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,1057,7.7721,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,640,34.5946,,
TRTR,Trinidad,10.6336,-61.3390,638,9.9688,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,480,4.6715,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,468,1.9500,,
ESSS,"San Salvador, El Salvador",13.6986,-89.2067,451,4.9560,,
FLMR,Myakka River S.P.,27.2330,-82.2360,395,5.4861,,
TXBZ,Brazos Bend,29.3734,-95.6688,358,4.3133,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,342,7.8621,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,340,14.1667,,
FLST,Stuart,27.2121,-80.2624,325,2.1104,,
TXVI,Victoria,28.8723,-97.0784,310,4.4604,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,305,3.7888,,
FLVE,Venice-Englewood,27.0048,-82.3793,299,2.5776,,
TXST,San Antonio,29.3148,-98.6080,296,2.2172,,
TXGC,Gibbons Creek,30.5833,-96.0000,268,3.5973,,
ARVB,Van Buren County-Fairfield Bay,35.6167,-92.2667,250,3.0030,,
VA0S,Blacksburg,37.2333,-80.4167,247,2.1619,,
FLPR,Peace River,26.9243,-82.0474,243,1.6644,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,243,2.7771,,
TXCO,Comstock,29.7104,-101.2531,241,7.1407,,
FLLP,Lake Placid,27.2601,-81.3441,240,1.7518,,
TXLO,Lake O' the Pines,32.8001,-94.5947,238,3.4745,,
FLWP,West Palm Beach,26.5672,-80.1270,236,2.3366,,
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,235,1.7153,,
BLBC,"Belize City, Belize",17.5990,-88.3822,227,4.7789,,
FLWR,Wekiva River,28.7863,-81.3679,218,1.6899,,
PAGE,Gettysburg,39.8304,-77.3177,217,2.3333,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,208,3.8519,,
TXPM,Palmetto S.P.,29.5833,-97.5833,202,1.8490,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,200,1.6064,,
HOLA,"Lancetilla, Honduras",15.7667,-87.4500,198,4.5780,,
