Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
BRMA,"Manaus, Amazonas, Brazil",-3.1500,-60.0000,1370,195.7143,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,903,3.8755,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,678,7.1181,,
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,489,3.0129,,
TXPM,Palmetto S.P.,29.5833,-97.5833,404,4.8792,,
FLMR,Myakka River S.P.,27.2330,-82.2360,360,5.0000,,
TRTR,Trinidad,10.6336,-61.3390,340,16.1905,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,308,2.4640,,
FLST,Stuart,27.2121,-80.2624,307,2.3346,,
BLBC,"Belize City, Belize",17.5990,-88.3822,271,5.8595,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,263,3.4379,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,259,3.5479,,
FLTA,Tampa,28.0107,-82.4595,257,1.9136,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,255,3.9844,,
TXFR,Freeport,29.0172,-95.3551,250,0.4587,,
VA0S,Blacksburg,37.2333,-80.4167,244,2.2740,,
TXGC,Gibbons Creek,30.5833,-96.0000,243,2.5579,,
FLCR,Crystal River,28.8712,-82.5776,227,4.2830,,
TXBZ,Brazos Bend,29.3734,-95.6688,208,1.0919,,
FL0V,South Brevard County,27.8667,-80.5667,202,2.2198,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,202,2.5156,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,200,1.6461,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,195,2.9104,,
FLBO,Brooksville,28.5480,-82.3245,194,1.8476,,
FL0L,"Ortona, Glades County",26.8667,-81.3167,190,3.4234,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,188,4.5854,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,181,3.4151,,
TXAU,Austin,30.1834,-97.6980,181,1.2043,,
FLVE,Venice-Englewood,27.0048,-82.3793,179,1.6808,,
FLCO,Cocoa,28.3622,-80.7026,170,0.9827,,
PAGE,Gettysburg,39.8304,-77.3177,160,1.5094,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,158,2.8315,,
GADU,Dublin,32.6297,-82.9239,155,8.6111,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,152,0.0000,,
TXCO,Comstock,29.7104,-101.2531,151,6.4807,,
FLLW,Lake Wales,27.8939,-81.5189,150,1.4423,,
VAAC,Augusta County,38.2046,-78.9913,146,1.6591,,
VALY,Lynchburg,37.3986,-79.1942,145,1.1694,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,144,4.8814,,
MDRR,Rock Run,39.6041,-76.1670,137,1.3564,,
TXCY,Cypress Creek,29.9561,-95.8900,133,1.3039,,
FLKV,Kissimmee Valley,28.2062,-81.3936,132,1.5349,,
TXST,San Antonio,29.3148,-98.6080,131,1.2243,,
FLLA,Lakeland,28.0261,-81.8507,130,1.0117,,
FLSR,Sarasota,27.2988,-82.4976,124,1.0438,,
FLLP,Lake Placid,27.2601,-81.3441,120,1.3187,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,117,0.8699,,
TXBO,Boerne,29.8666,-98.7901,114,1.1937,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,113,1.0561,,
TNCC,Cross Creeks N.W.R.,36.4760,-87.7528,109,1.6515,,
TNKI,Kingsport,36.5000,-82.5167,108,2.8954,,
VAWY,Waynesboro,37.9810,-78.9550,105,0.8714,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,104,1.4964,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,103,0.9035,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,101,0.6177,,
ARML,Magnolia-Lake Columbia,33.2684,-93.2832,101,1.5120,,
LATR,Tensas River N.W.R.,32.2833,-91.3667,97,1.3020,,
TNBR,Buffalo River,35.3001,-87.4573,95,2.1445,,
FLEC,Econlockhatchee,28.7094,-81.1467,95,0.7143,,
TNHI,Hiwassee,35.3655,-84.9200,93,1.3478,,
PAWC,West Chester,39.9600,-75.6047,91,0.6477,,
TXNA,Nacogdoches,31.5332,-94.6563,89,1.0533,,
LA0P,New Orleans,29.9667,-89.9833,89,0.8900,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,88,2.6269,,
TXVI,Victoria,28.8723,-97.0784,87,1.2794,,
TXCR,Crawford,31.5560,-97.3556,85,1.4912,,
TXPS,Palestine,31.7624,-95.7664,82,2.7333,,
PASL,Southern Lancaster County,39.8172,-76.1698,82,0.6165,,
SCCE,Chester,34.7000,-81.2167,81,7.6415,,
FLGA,Gainesville,29.6027,-82.3127,80,0.4863,,
FLWP,West Palm Beach,26.5672,-80.1270,77,0.7130,,
FLSM,St. Marks,30.1536,-84.2227,77,0.8021,,
FLMA,Marianna,30.7167,-85.2667,75,0.8542,,
MSJA,Jackson,32.4476,-90.0040,73,1.0429,,
LABR,Baton Rouge,30.3661,-91.1194,71,1.2909,,
NJPR,Princeton,40.3410,-74.6649,71,0.3641,,
TXSC,Spring Creek,30.1268,-95.4432,69,0.9324,,
