Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLCO,Cocoa,28.3622,-80.7026,2450,20.2479,,
FLLA,Lakeland,28.0261,-81.8507,1600,10.2073,,
BRMD,"Manaus (Ducke), Amazonas, Brazil",-2.9129,-59.9803,1500,84.5070,,
FLNA,Naples,26.1278,-81.7645,1350,10.1124,"HC, ",
FLAP,Avon Park A.F. Range,27.6501,-81.2896,1200,16.0000,,
TXBZ,Brazos Bend,29.3734,-95.6688,1189,10.6113,,
TXAU,Austin,30.1834,-97.6980,914,5.2303,,
FLBA,Bradenton,27.5010,-82.5631,900,6.6055,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,892,4.3144,,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.5330,-96.8635,838,3.9810,,ph
FLFP,Fort Pierce,27.4177,-80.3828,825,8.2294,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,819,2.3153,,
FLSB,South Brevard County,27.8486,-80.5500,800,3.7383,,
TXST,San Antonio,29.3148,-98.6080,710,7.0297,,
FLWR,Wekiva River,28.7863,-81.3679,700,5.8455,,
FLMR,Myakka River S.P.,27.2330,-82.2360,670,15.6542,,
TXLK,Lake Tawakoni,32.7667,-95.9167,668,11.5172,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,645,6.6839,,
MDBO,Bowie,38.9927,-76.7852,639,2.4961,"HC, ",
TXFR,Freeport,29.0172,-95.3551,611,3.1495,,
FLLC,Lake City,30.1894,-82.6371,600,8.0537,,
TXSG,San Angelo,31.4439,-100.4823,580,11.6000,,
MDRR,Rock Run,39.6041,-76.1670,561,5.4098,,
FLGA,Gainesville,29.6027,-82.3127,550,1.8123,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,550,5.3114,,
TXLP,Lost Pines,30.2209,-97.4397,542,7.3243,,
FLSP,St. Petersburg,27.7991,-82.6794,525,5.9659,,
VABL,Blacksburg,37.2153,-80.4690,503,4.8623,,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,500,5.3763,,
FLBL,Bay Lake,28.3753,-81.5496,480,4.7666,,
FLFK,Fakahatchee,26.1486,-81.4535,475,5.8933,,
TXCY,Cypress Creek,29.9561,-95.8900,471,3.4635,,
NCMA,Mattamuskeet N.W.R.,35.4500,-76.1333,467,7.9341,,
WVLE,Lewisburg,37.8017,-80.4454,463,10.2320,"HC, ",
FLTT,Ten Thousand Islands,25.9500,-81.6200,450,4.8754,,
TXPM,Palmetto S.P.,29.5833,-97.5833,444,4.3423,,
KYEA,East Allen County,36.7426,-86.0686,435,7.6316,"HC, ",
TXAY,Armand Bayou,29.5498,-95.0489,431,3.0182,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,410,2.2583,,
TXNB,New Braunfels,29.7035,-98.1249,407,8.6047,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,407,18.9302,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,405,9.4186,"HC, ",
TXSM,San Marcos,29.9091,-97.9642,402,4.5943,,
FLCR,Crystal River,28.8712,-82.5776,400,2.9630,,
FLVE,Venice-Englewood,27.0048,-82.3793,400,2.9038,,
FLST,Stuart,27.2121,-80.2624,400,2.3392,,
FLEC,Econlockhatchee,28.7094,-81.1467,400,2.9336,,
FLLW,Lake Wales,27.8939,-81.5189,400,3.5556,,
MOTC,Taney County,36.6070,-93.1830,390,3.7232,,
VAFB,Fort Belvoir,38.7090,-77.1939,390,1.0685,,
CLSB,"Sabana de Bogotá, Cundinamarca, Colombia",4.8000,-74.0667,388,5.0000,,
VABK,Brooke,38.3703,-77.3287,367,4.0066,,
NCSL,Southern Lake Norman,35.4326,-80.8702,355,4.4654,,
TXPL,Proctor Lake,31.9971,-98.4991,353,3.4628,,
TXPL,Proctor Lake,31.9971,-98.4991,353,3.4628,,
VACL,Central Loudon,39.0905,-77.6198,343,1.8743,,
TXCC,Corpus Christi,27.8334,-97.5833,343,2.9316,"HC, ",
TNNA,Nashville,36.0545,-86.9287,342,4.8683,,
NCCP,Chapel Hill,35.9131,-79.0558,335,2.4032,,
GACG,Callaway Gardens,32.8240,-84.8437,333,9.2758,"HC, ",
TXWP,Westcave Preserve,30.3553,-98.0296,332,3.0670,,
TXGR,Granger,30.7062,-97.4019,331,3.1524,,
VAWI,Williamsburg,37.2792,-76.6987,326,2.7627,"HC, ",
TXPS,Palestine,31.7624,-95.7664,325,29.5455,,
FLKV,Kissimmee Valley,28.2062,-81.3936,325,3.8690,,
FLPI,Ponce Inlet,29.0623,-81.0073,325,3.9039,,
FLPR,Peace River,26.9243,-82.0474,325,2.7311,,
MXCZ,"Coast of Central Veracruz, Mexico",19.3100,-96.2844,321,13.3750,,
TXGC,Gibbons Creek,30.5833,-96.0000,319,5.1744,,
PAYO,York,39.8073,-76.8825,318,5.3898,,
ALTU,Tuscaloosa,33.2390,-87.5766,316,13.1667,,
LABR,Baton Rouge,30.3661,-91.1194,314,1.9811,,
NCKL,Kerr Lake,36.5068,-78.3477,311,5.6290,,
FLSR,Sarasota,27.2988,-82.4976,310,1.0851,,
TRTR,Trinidad,10.6336,-61.3390,310,6.0194,,
MDJB,Jug Bay,38.7532,-76.6415,306,2.4028,,
VACC,Cape Charles,37.1899,-75.9410,302,2.1964,"HC, ",
FLSM,St. Marks,30.1536,-84.2227,300,3.0380,,
FLSA,St. Augustine,29.9333,-81.3162,300,2.6316,,
FLOR,Orange River,26.6510,-81.7317,300,6.2241,,
FLLP,Lake Placid,27.2601,-81.3441,300,4.0000,,
FLFG,Flagler,29.4970,-81.2650,300,3.8961,,
ECRU,"Rio Upano, Morona-Santiago, Ecuador",-2.3046,-78.1177,300,42.8571,,
MSSP,Strawberry Plains,34.8137,-89.3546,299,2.4609,,
MSSP,Strawberry Plains,34.8137,-89.3546,299,2.4609,,
MDCV,Chesterville,39.2762,-75.9153,296,9.5731,"HC, ",
ARHB,Holla Bend N.W.R.,35.1660,-93.1382,292,4.1696,"HC, ",
TXCK,Choke Canyon,28.4913,-98.3082,291,4.6190,,
NJWC,Warren County-Northampton County,40.7800,-75.1001,290,3.2222,,
TXBN,Burnet County,30.7514,-98.2750,285,2.8218,,
VAWA,Walkerton,37.6809,-77.0313,285,3.0878,,
BLSL,"Spanish Lookout, Cayo, Belize",17.2994,-89.0206,283,4.8376,,
BLSL,"Spanish Lookout, Cayo, Belize",17.2994,-89.0206,283,4.8376,,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,280,2.6291,"HC, ",
TXJC,Jackson-Calhoun Counties,28.7232,-96.4981,280,2.4845,,
ESSU,"Suchitoto, Cuscatlán, El Salvador",13.9463,-89.0497,280,14.7368,,
PAAU,Audubon,40.1341,-75.4260,279,1.7297,"HC, ",
VACN,Calmes Neck,39.1242,-77.8913,276,1.9167,,
FLWM,West Marion County,29.0937,-82.3538,275,3.3537,,
KYRA,Russell-Adair County,36.9658,-85.1217,274,5.6788,,
NJSA,Salem,39.6140,-75.4142,268,4.3401,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,265,1.0816,"HC, ",
TXGT,Georgetown-Andice,30.6999,-97.7395,265,2.7348,,
DERE,Rehoboth,38.6035,-75.1073,264,2.7572,,
FLMT,Matanzas,29.7154,-81.2827,260,2.8729,,
TXWA,Waco,31.5194,-97.0451,260,5.0732,,
TXBO,Boerne,29.8666,-98.7901,260,3.0624,,
MXPB,"Playa Blanca-Barra de Potosi, Guerrero, Mexico",17.5378,-101.4414,257,8.4818,,
TXVI,Victoria,28.8723,-97.0784,256,3.0118,,
TXFW,Fort Worth,32.7661,-97.4715,253,2.0032,,
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,250,0.9934,"HC, ",
VAAC,Augusta County,38.2046,-78.9913,249,4.3684,,
NCRO,Rockingham County,36.4388,-79.9381,248,6.3185,,
PASL,Southern Lancaster County,39.8172,-76.1698,243,2.1457,,
TXKV,Kerrville,30.0646,-99.1757,243,5.5543,,
TXTY,Tyler,32.2777,-95.2991,241,2.3885,,
TXTA,Trinity River Audubon Center,32.6407,-96.6577,241,3.0740,,
PACB,Central Bucks County,40.3102,-75.1017,238,1.9624,,
AZNO,Nogales,31.4338,-110.9358,237,1.7766,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,233,4.0663,,
KYLO,Louisville,38.2813,-85.6348,231,2.1589,"HC, ",
TXCS,College Station,30.5930,-96.3175,230,2.5423,,
SCFH,Four Holes Swamp,33.2113,-80.4210,229,2.7707,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,226,3.6452,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,225,3.8793,,
OHEF,East Fork Lake S.P.,38.9871,-84.0253,225,7.1429,,
SCSC,Sun City-Okatie,32.3512,-80.9232,224,1.2588,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,224,1.9823,,
TNCH,Chattanooga,35.1040,-85.2292,223,3.5397,,
DEWI,Wilmington,39.7450,-75.6399,221,1.4194,"HC, ",hc
MXNY,"Northeastern Coast of the Yucatan Peninsula (Rio Lagartos), Mexico",21.6000,-88.1600,217,14.8936,,
TXNA,Nacogdoches,31.5332,-94.6563,216,1.7109,,
FLWV,West Volusia County,29.0543,-81.3039,215,4.0187,,
ECNM,"Mindo-Tandayapa, Pichincha, Ecuador",-0.0542,-78.6821,214,0.7205,,
TXBU,Bell County,30.9667,-97.4500,214,5.3500,,
TNDR,Duck River,35.9474,-87.9211,212,2.9444,,
OKSC,Stephens County,34.5667,-97.7833,209,5.9714,,
OHPC,Paint Creek Area,39.2622,-83.4450,206,7.7736,,
TNKI,Kingsport,36.5000,-82.5167,204,5.2713,,
PARD,Reading,40.3667,-75.8667,200,2.0833,,
FLAL,Alafia Banks,27.7920,-82.3349,200,1.6949,,
FLBO,Brooksville,28.5480,-82.3245,200,2.5316,,
FLDB,Daytona Beach,29.2629,-81.1173,200,4.0816,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,200,2.1739,,
FLCL,Clermont,28.5404,-81.7651,200,2.0429,,
NJNH,Northwestern Hunterdon County,40.6365,-74.9098,198,2.4750,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,198,2.3023,,
PAHM,Hamburg,40.5994,-75.9269,197,1.5055,,
TXVC,Village Creek Drying Beds,32.7667,-97.1167,195,3.0116,,
KYCC,Calloway County,36.6003,-88.1999,194,3.5926,,
SCCG,Congaree Swamp,33.7612,-80.7476,193,2.7415,,
GASV,"Savannah, GA-SC",32.0842,-81.0667,192,1.2573,,
DEMI,Middletown,39.4753,-75.6347,191,2.1954,,
NJNG,Northwestern Gloucester County,39.7727,-75.2442,191,2.1222,,
VAGS,Glade Spring,36.7883,-81.7787,188,3.0347,,
LARB,Reserve-Bonnet Carre Spillway,30.0867,-90.4711,186,2.4800,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,185,3.9362,,
PAWN,Western Chester County,39.9369,-75.9020,184,1.4347,,
CRRF,"Rainforest Adventures Atlantic, Costa Rica",10.1202,-83.5125,184,0.9293,"HC, ",
ECGP,"Galbula Pastaza, Fatima, Pastaza, Ecuador",-1.4445,-77.9736,182,13.0000,,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,180,2.1951,,
LASH,Shreveport,32.5371,-93.8922,180,3.4836,,
CRCF,"Western Cloud Forest, Balsa, Costa Rica",10.1855,-84.5160,179,1.2822,,
KYFR,Frankfort,38.2271,-84.8525,177,4.4810,,
FLEM,Emeralda-Sunnyhill,28.9718,-81.8529,175,1.6355,,
ALGU,Guntersville,34.3883,-86.2803,175,2.4055,,
TNCL,Clarksville,36.5000,-87.3833,175,3.5533,,
TXBC,Balcones Canyonlands,30.6042,-98.0179,174,1.5605,,
ARMH,Mountain Home,36.3862,-92.4672,174,4.3500,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,170,6.5385,,
