Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLPI,Ponce Inlet,29.0623,-81.0073,2000,20.6186,,
FLLA,Lakeland,28.0261,-81.8507,1500,12.6348,,
FLFP,Fort Pierce,27.4177,-80.3828,1500,14.5631,,
FLNA,Naples,26.1278,-81.7645,1200,10.2477,,
TXFR,Freeport,29.0172,-95.3551,1018,5.0025,,
FLLC,Lake City,30.1894,-82.6371,1000,17.0213,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,907,8.7422,,
MDJB,Jug Bay,38.7532,-76.6415,877,7.4196,"HC, ",
MDSA,Salisbury,38.3333,-75.7333,873,10.7446,"HC, ",hc
TXBZ,Brazos Bend,29.3734,-95.6688,828,7.5789,,
TRTR,Trinidad,10.6336,-61.3390,809,18.5977,,
TXCY,Cypress Creek,29.9561,-95.8900,808,5.3071,"HC, ",
NCKL,Kerr Lake,36.5068,-78.3477,792,13.2552,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,772,2.0516,,
ECGP,"Galbula Pastaza, Fatima, Pastaza, Ecuador",-1.4445,-77.9736,768,51.2000,"HC, ",
FLTT,Ten Thousand Islands,25.9500,-81.6200,750,7.0323,,
TXAU,Austin,30.1834,-97.6980,722,3.5743,,
MOTC,Taney County,36.6070,-93.1830,708,9.5034,,
ALGU,Guntersville,34.3883,-86.2803,700,9.5238,,
TXGC,Gibbons Creek,30.5833,-96.0000,690,13.2057,,
VABK,Brooke,38.3703,-77.3287,678,7.4179,"HC, ",
VABL,Blacksburg,37.2153,-80.4690,655,6.3438,,
TXCP,Chaparral W.M.A.,28.3609,-99.3429,635,115.4545,"HC, ",
FLAP,Avon Park A.F. Range,27.6501,-81.2896,600,5.6471,,
FLBL,Bay Lake,28.3753,-81.5496,600,5.6604,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,600,5.7554,,
MXNY,"Northeastern Coast of the Yucatan Peninsula (Rio Lagartos), Mexico",21.6000,-88.1600,578,29.8400,,
FLWR,Wekiva River,28.7863,-81.3679,575,3.9737,,
TXSG,San Angelo,31.4439,-100.4823,564,12.1290,,
SCLW,Lake Wateree,34.3548,-80.8368,556,15.3379,"HC, ",ex
MDBO,Bowie,38.9927,-76.7852,552,1.8776,,
MDSE,Seneca,39.0671,-77.3285,547,2.3519,"HC, ",
FLMR,Myakka River S.P.,27.2330,-82.2360,530,7.4700,,
FLSB,South Brevard County,27.8486,-80.5500,525,3.7838,,
TXSM,San Marcos,29.9091,-97.9642,525,8.3004,,
KYEA,East Allen County,36.7426,-86.0686,522,7.5108,"HC, ",
VACA,Charlottesville,38.0668,-78.5667,516,3.5896,"HC, ",
VACL,Central Loudon,39.0905,-77.6198,514,2.6705,,
TXST,San Antonio,29.3148,-98.6080,507,5.6333,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,503,4.9926,,
