Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLEC,Econlockhatchee,28.7094,-81.1467,1200,9.0395,"HC, ",
FLLA,Lakeland,28.0261,-81.8507,1068,7.5477,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,1059,2.7686,"HC, ",
FLLC,Lake City,30.1894,-82.6371,1000,45.4545,"HC, ",
TXGC,Gibbons Creek,30.5833,-96.0000,941,12.7162,,
TXFR,Freeport,29.0172,-95.3551,842,4.1325,,
FLMR,Myakka River S.P.,27.2330,-82.2360,820,11.3889,,
FLSB,South Brevard County,27.8486,-80.5500,762,6.1826,,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.5330,-96.8635,691,3.9542,"HC, ",
TXST,San Antonio,29.3148,-98.6080,650,5.4167,,
FLCO,Cocoa,28.3622,-80.7026,650,4.6346,"HC, ",
VACL,Central Loudon,39.0905,-77.6198,626,4.1049,"HC, ",
TXNB,New Braunfels,29.7035,-98.1249,608,12.7330,"HC, ",
MXCZ,"Coast of Central Veracruz, Mexico",19.3100,-96.2844,607,18.9688,,
FLNA,Naples,26.1278,-81.7645,600,6.3830,"HC, ",
FLLP,Lake Placid,27.2601,-81.3441,600,7.4534,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,578,5.1150,,
TXAU,Austin,30.1834,-97.6980,571,3.4449,,
TXBZ,Brazos Bend,29.3734,-95.6688,537,7.6714,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,504,10.6105,"HC, ",
FLBA,Bradenton,27.5010,-82.5631,478,6.1877,,
ALGU,Guntersville,34.3883,-86.2803,458,6.4056,"HC, ",
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,456,14.4762,"HC, ",
TXSB,San Bernard N.W.R.,28.8667,-95.5667,453,3.1845,"HC, ",
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,451,5.7821,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,435,3.1295,,
MXCS,"Canon del Sumidero, Mexico",16.8284,-93.1062,427,17.0800,,
FLCR,Crystal River,28.8712,-82.5776,427,6.7244,,
TXWP,Westcave Preserve,30.3553,-98.0296,402,5.0886,,
MDJB,Jug Bay,38.7532,-76.6415,401,2.2278,,
FLWR,Wekiva River,28.7863,-81.3679,400,2.9466,"HC, ",
KYFR,Frankfort,38.2271,-84.8525,399,10.2968,"HC, ",
TNWH,White County,35.9082,-85.5980,398,7.0442,,
TNCV,Cookeville,36.1448,-85.4747,391,4.9338,"HC, ",
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,387,16.1250,,
CRRF,"Rainforest Adventures Atlantic, Costa Rica",10.1202,-83.5125,385,1.6348,,
VABL,Blacksburg,37.2153,-80.4690,381,3.2017,,
TXVI,Victoria,28.8723,-97.0784,365,4.5201,,
TXCP,Chaparral W.M.A.,28.3609,-99.3429,365,8.4884,,
FLAL,Alafia Banks,27.7920,-82.3349,360,3.3103,"HC, ",
LANA,Natchitoches,31.8240,-93.0635,346,6.3486,"HC, ",
TNCL,Clarksville,36.5000,-87.3833,334,6.4854,,
FLWM,West Marion County,29.0937,-82.3538,330,3.0769,,
TXFW,Fort Worth,32.7661,-97.4715,324,2.3394,,
FLEM,Emeralda-Sunnyhill,28.9718,-81.8529,320,2.0317,,
TXSG,San Angelo,31.4439,-100.4823,319,3.7419,"HC, ",
FLVE,Venice-Englewood,27.0048,-82.3793,311,2.2455,,
TXWA,Waco,31.5194,-97.0451,307,6.6022,,
NCCP,Chapel Hill,35.9131,-79.0558,280,2.0818,,
TXCY,Cypress Creek,29.9561,-95.8900,278,2.5215,,
FLFP,Fort Pierce,27.4177,-80.3828,277,4.1343,,
TXKI,Kingsville,27.4658,-97.8551,271,4.2677,,
TXBO,Boerne,29.8666,-98.7901,270,4.0299,,
TXPM,Palmetto S.P.,29.5833,-97.5833,259,4.5240,,
AZNO,Nogales,31.4338,-110.9358,259,3.2074,,
SCAB,Ace Basin,32.6126,-80.4813,257,7.3429,"HC, ",rc
TNHP,Hickory-Priest,36.1926,-86.6634,255,4.8113,,
TXLK,Lake Tawakoni,32.7667,-95.9167,252,4.3448,,
FLDB,Daytona Beach,29.2629,-81.1173,250,6.2500,"HC, ",
FLLW,Lake Wales,27.8939,-81.5189,248,2.5436,,
FLPR,Peace River,26.9243,-82.0474,239,1.8672,,
TXWK,West Kerr County,30.0809,-99.4279,238,4.7600,"HC, ",
TXBF,Buffalo Bayou,29.7715,-95.5699,237,1.4368,,
TXCS,College Station,30.5930,-96.3175,235,3.0225,,
TXTY,Tyler,32.2777,-95.2991,235,1.9067,"HC, ",
FLNP,North Pinellas,28.0672,-82.7388,234,1.2547,,
FLWV,West Volusia County,29.0543,-81.3039,233,3.5709,,
VALC,Little Creek,36.8508,-76.0994,230,2.3350,"HC, ",
SCSC,Sun City-Okatie,32.3512,-80.9232,229,2.2126,"HC, ",rc
NJBP,Belleplain,39.2500,-74.9333,226,3.6452,"HC, ",
SCYR,York-Rock Hill,34.9565,-81.1060,222,5.0455,"HC, ",rc
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,218,2.1320,,
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,214,0.9817,,
ARMH,Mountain Home,36.3862,-92.4672,212,7.5714,,
TXLG,Longview,32.3765,-94.7162,212,2.7532,,
TRTR,Trinidad,10.6336,-61.3390,211,4.2412,,
OHAC,Adams County,38.7953,-83.5461,211,2.3575,"HC, ",
TNBR,Buffalo River,35.3001,-87.4573,207,3.6000,"HC, ",
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,200,1.0101,"HC, ",
TXKV,Kerrville,30.0646,-99.1757,196,2.5537,LC,
BLPG,"Punta Gorda, Belize",16.1465,-88.8893,195,1.9898,,
MDRR,Rock Run,39.6041,-76.1670,195,1.4234,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,193,3.5741,,
FLST,Stuart,27.2121,-80.2624,191,1.2127,,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,190,1.5966,"HC, ",
TXDR,Del Rio,29.4651,-100.9585,188,5.2222,,
TXLO,Lake O' the Pines,32.8001,-94.5947,187,2.4051,,
NJNH,Northwestern Hunterdon County,40.6365,-74.9098,187,2.3375,,
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,185,0.7227,"HC, ",
MSSL,Sardis Lake,34.4369,-89.7010,185,3.4259,"HC, ",
TXNA,Nacogdoches,31.5332,-94.6563,185,1.4042,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,183,2.4079,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,182,4.0000,,
TNHI,Hiwassee,35.3655,-84.9200,182,3.7917,,
NISN,"Sierritas de Managua, Conteo Navideño, Nicaragua",11.9514,-86.2401,180,32.7273,,
DEMI,Middletown,39.4753,-75.6347,178,2.4808,"HC, ",
PASL,Southern Lancaster County,39.8172,-76.1698,177,1.2553,,
LADA,D'Arbonne,32.6583,-92.2410,175,2.1605,,
MDTR,Triadelphia Reservoir,39.1605,-76.9885,173,0.9665,,
TXLS,La Sal Vieja,26.4849,-97.9649,171,1.8791,"HC, ",
SCLW,Lake Wateree,34.3548,-80.8368,171,4.3567,,
VAAC,Augusta County,38.2046,-78.9913,168,3.0000,,
FLGC,"Gulf Circle, Manatee County",27.4970,-82.8128,165,2.4176,"HC, ",
ARHB,Holla Bend N.W.R.,35.1660,-93.1382,165,1.8966,"HC, ",
VACC,Cape Charles,37.1899,-75.9410,164,1.4261,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,164,3.5080,,
TXOR,Old River,29.8667,-94.7333,163,2.6290,,
TXTN,Trinity River,30.2860,-94.9800,162,3.4468,,
FLSM,St. Marks,30.1536,-84.2227,161,1.8039,,
TXLH,Lake Houston,29.9400,-95.1800,161,3.5778,,
VAFB,Fort Belvoir,38.7090,-77.1939,157,0.4240,"HC, ",
NCJL,Jordan Lake,35.6950,-79.0433,157,1.0502,,
DESN,Seaford-Nanticoke,38.5845,-75.5739,153,1.9742,"HC, ",
MDSM,Sugarloaf Mountain,39.2841,-77.3920,152,0.7379,"HC, ",
FLPI,Ponce Inlet,29.0623,-81.0073,151,1.9610,,
PAAU,Audubon,40.1341,-75.4260,151,1.1123,,
PANV,Newville,40.1492,-77.3681,150,1.6760,,
NJWV,Walnut Valley,40.9760,-75.0226,148,1.4874,,
FLTT,Ten Thousand Islands,25.9500,-81.6200,147,1.1831,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,147,2.5128,,
TXUC,Uvalde County,29.2096,-99.7862,146,4.4242,,
TXWC,Wise County,33.2500,-97.6667,146,3.4353,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,145,0.7775,,
TXPS,Palestine,31.7624,-95.7664,145,6.1702,,
MSLC,Lauderdale County,32.4676,-88.7230,145,3.0526,,
WVCT,Charles Town,39.3319,-77.8512,142,2.2903,"HC, ",
NCSH,Shelby,35.2951,-81.5743,139,6.6190,,
GASC,St. Catherines Island,31.6351,-81.1226,139,1.3398,,
MDPT,Port Tobacco,38.4833,-77.0333,137,1.9228,,
MXNY,"Northeastern Coast of the Yucatan Peninsula (Rio Lagartos), Mexico",21.6000,-88.1600,136,9.7143,,
CRMO,"Monteverde, Costa Rica",10.2999,-84.7667,136,0.5751,,
VANW,Nassawadox,37.4373,-75.7859,135,1.3366,,
ARAR,Arkadelphia,34.1333,-93.0500,134,1.6750,,
