Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLFP,Fort Pierce,27.4177,-80.3828,1300,13.4021,,
TXFR,Freeport,29.0172,-95.3551,975,6.1807,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,913,39.6957,,
TXLK,Lake Tawakoni,32.7667,-95.9167,867,12.0417,,
FLLC,Lake City,30.1894,-82.6371,750,10.1351,,
FLEC,Econlockhatchee,28.7094,-81.1467,750,5.0986,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,750,8.4507,,
FLCM,Christmas,28.5296,-81.0029,735,7.0000,,
FLCM,Christmas,28.5296,-81.0029,735,7.0000,,
FLMR,Myakka River S.P.,27.2330,-82.2360,700,10.1215,,
FLPR,Peace River,26.9243,-82.0474,700,4.8951,,
MDRR,Rock Run,39.6041,-76.1670,700,5.8504,,
TXCY,Cypress Creek,29.9561,-95.8900,677,5.9991,,
TXBZ,Brazos Bend,29.3734,-95.6688,655,8.8514,,
FLFK,Fakahatchee,26.1486,-81.4535,650,6.3901,"HC, ",
VACL,Central Loudon,39.0905,-77.6198,650,3.8576,"HC, ",
LAPI,Palmetto Island,29.8744,-92.1384,624,7.4197,,
TRTR,Trinidad,10.6336,-61.3390,594,12.2474,,
TXAU,Austin,30.1834,-97.6980,591,2.9906,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,585,4.3237,,ph
FLBA,Bradenton,27.5010,-82.5631,580,4.4275,,
MXEG,"El Yugo, Sinaloa, Mexico",23.2779,-106.4673,562,43.2308,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,554,1.6768,LC,
VABK,Brooke,38.3703,-77.3287,553,5.0159,"HC, ",
FLCR,Crystal River,28.8712,-82.5776,550,4.5455,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,550,5.8981,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,538,5.6715,,
TNLE,Lebanon,36.1944,-86.3892,515,9.0351,,
TNLE,Lebanon,36.1944,-86.3892,515,9.0351,,
FLBL,Bay Lake,28.3753,-81.5496,510,4.6364,,
FLLA,Lakeland,28.0261,-81.8507,510,4.2857,,
FLST,Stuart,27.2121,-80.2624,500,2.0161,,
TXSG,San Angelo,31.4439,-100.4823,499,5.5444,,
TXCS,College Station,30.5930,-96.3175,482,4.4220,,
SCSC,Sun City-Okatie,32.3512,-80.9232,482,3.4429,,
TXWK,West Kerr County,30.0809,-99.4279,474,13.1667,,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,470,3.9831,"HC, ",
FLAL,Alafia Banks,27.7920,-82.3349,470,5.4971,,
TXST,San Antonio,29.3148,-98.6080,455,4.4608,,
FLVE,Venice-Englewood,27.0048,-82.3793,450,2.6786,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,439,5.6282,,
TXNB,New Braunfels,29.7035,-98.1249,433,9.9885,,
FLFG,Flagler,29.4970,-81.2650,425,22.9730,,
WVLE,Lewisburg,37.8017,-80.4454,420,8.8421,,
TXPM,Palmetto S.P.,29.5833,-97.5833,415,6.1255,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,410,4.7290,,
TXFW,Fort Worth,32.7661,-97.4715,403,2.6042,,
FLWR,Wekiva River,28.7863,-81.3679,400,2.7267,,
FLWV,West Volusia County,29.0543,-81.3039,400,6.1303,,
FLSB,South Brevard County,27.8486,-80.5500,400,3.7279,,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,400,3.3058,,
NCKL,Kerr Lake,36.5068,-78.3477,399,5.6197,,
MOTC,Taney County,36.6070,-93.1830,396,3.9092,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,395,3.7601,,
TXAY,Armand Bayou,29.5498,-95.0489,393,2.6826,,
TXBF,Buffalo Bayou,29.7715,-95.5699,391,2.9756,,
MXPB,"Playa Blanca-Barra de Potosi, Guerrero, Mexico",17.5378,-101.4414,391,10.9677,,
MDCM,Catoctin Mountain,39.6195,-77.4095,381,7.6200,"HC, ",hc
MXCZ,"Coast of Central Veracruz, Mexico",19.3100,-96.2844,378,19.8947,,
TXBO,Boerne,29.8666,-98.7901,374,3.2048,,
FLSP,St. Petersburg,27.7991,-82.6794,370,2.5170,,
OHCI,Cincinnati,39.1000,-84.3000,356,2.2390,,
FLPI,Ponce Inlet,29.0623,-81.0073,350,3.7037,,
FLNA,Naples,26.1278,-81.7645,350,3.0635,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,338,6.0089,,
MDJB,Jug Bay,38.7532,-76.6415,331,2.9812,,
FLLP,Lake Placid,27.2601,-81.3441,330,3.6066,,
NJWC,Warren County-Northampton County,40.7800,-75.1001,330,5.1563,"HC, ",
NCFL,Falls Lake,35.9969,-78.6162,329,3.3469,,
NCDU,Durham,36.0868,-78.8907,328,2.6204,"HC, ",
DERE,Rehoboth,38.6035,-75.1073,318,3.3281,,
BLBC,"Belize City, Belize",17.5990,-88.3822,316,5.5683,,
TXPS,Palestine,31.7624,-95.7664,312,16.8649,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,310,3.9241,,
FLWM,West Marion County,29.0937,-82.3538,300,3.5971,,
FLGA,Gainesville,29.6027,-82.3127,300,1.0789,,
FLCO,Cocoa,28.3622,-80.7026,300,2.7778,,
TXGT,Georgetown-Andice,30.6999,-97.7395,295,3.3447,,
TXTA,Trinity River Audubon Center,32.6407,-96.6577,289,1.9660,,
