Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
BRMD,"Manaus (Ducke), Amazonas, Brazil",-2.9129,-59.9803,3000,206.8966,,
FLCO,Cocoa,28.3622,-80.7026,1400,11.6667,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,1246,3.4853,"HC, ",
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,1000,8.1136,,
FLNA,Naples,26.1278,-81.7645,1000,8.9646,,
FLPI,Ponce Inlet,29.0623,-81.0073,1000,10.8696,,
TXAU,Austin,30.1834,-97.6980,947,4.3341,"HC, ",
MDRR,Rock Run,39.6041,-76.1670,892,7.6632,"HC, ",
SCFH,Four Holes Swamp,33.2113,-80.4210,828,10.6290,"HC, ","rc, rn"
FLBL,Bay Lake,28.3753,-81.5496,800,7.2398,,
TXFR,Freeport,29.0172,-95.3551,759,4.1475,,
FLLA,Lakeland,28.0261,-81.8507,730,5.5939,,
FLEC,Econlockhatchee,28.7094,-81.1467,700,4.7929,,
FLST,Stuart,27.2121,-80.2624,700,3.5167,,
TXBZ,Brazos Bend,29.3734,-95.6688,668,6.5975,,
TXCS,College Station,30.5930,-96.3175,646,6.3645,"HC, ",
VACL,Central Loudon,39.0905,-77.6198,640,3.2323,"HC, ",
TXSG,San Angelo,31.4439,-100.4823,626,8.3467,"HC, ",
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,609,3.9101,,
FLSB,South Brevard County,27.8486,-80.5500,600,4.9689,,
FLFP,Fort Pierce,27.4177,-80.3828,600,7.1856,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,600,6.4865,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,557,34.8125,,
FLBA,Bradenton,27.5010,-82.5631,550,4.9550,,
FLLC,Lake City,30.1894,-82.6371,550,8.5271,,
SCSC,Sun City-Okatie,32.3512,-80.9232,548,5.3725,,rc
MDJB,Jug Bay,38.7532,-76.6415,526,3.4001,,
VABK,Brooke,38.3703,-77.3287,522,4.6195,"HC, ",
FLVE,Venice-Englewood,27.0048,-82.3793,500,2.5189,,
FLFG,Flagler,29.4970,-81.2650,500,21.7391,"HC, ",
VACA,Charlottesville,38.0668,-78.5667,492,4.2597,"HC, ",
TXPR,Paris,33.7500,-95.5667,482,13.2055,,
FLFK,Fakahatchee,26.1486,-81.4535,450,4.7433,,
FLGA,Gainesville,29.6027,-82.3127,450,1.8069,,
FLKD,Kendall Area,25.6363,-80.3377,450,5.1282,,
FLTT,Ten Thousand Islands,25.9500,-81.6200,450,3.1652,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,447,7.2097,,
TXST,San Antonio,29.3148,-98.6080,447,4.2370,,
TXFW,Fort Worth,32.7661,-97.4715,443,3.7227,,
MDSE,Seneca,39.0671,-77.3285,441,1.4426,"HC, ",
TXBF,Buffalo Bayou,29.7715,-95.5699,430,5.4088,,
TXAY,Armand Bayou,29.5498,-95.0489,421,2.8836,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,410,5.5405,,
TXPM,Palmetto S.P.,29.5833,-97.5833,410,6.7769,,
FLWV,West Volusia County,29.0543,-81.3039,400,5.8394,,
FLSP,St. Petersburg,27.7991,-82.6794,400,2.9851,"HC, ",
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,400,5.1948,,
FLMR,Myakka River S.P.,27.2330,-82.2360,400,6.4516,,
TXWK,West Kerr County,30.0809,-99.4279,398,6.2188,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,397,4.8563,,
NCKL,Kerr Lake,36.5068,-78.3477,397,5.7536,,
TXNA,Nacogdoches,31.5332,-94.6563,384,3.4517,,
TRTR,Trinidad,10.6336,-61.3390,383,9.8205,,
WVLE,Lewisburg,37.8017,-80.4454,382,6.5299,,
TXGT,Georgetown-Andice,30.6999,-97.7395,377,4.3333,,
MDBO,Bowie,38.9927,-76.7852,375,1.4335,"HC, ",hc
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,375,3.9063,,
FLCR,Crystal River,28.8712,-82.5776,375,4.4643,,
PASL,Southern Lancaster County,39.8172,-76.1698,374,2.2000,,
NCJL,Jordan Lake,35.6950,-79.0433,370,3.2118,"HC, ",
TXRC,Richland Creek W.M.A.,32.0299,-96.0728,370,9.6732,,
DERE,Rehoboth,38.6035,-75.1073,367,4.0441,"HC, ",hc
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.5330,-96.8635,361,1.2813,LC,
TXNB,New Braunfels,29.7035,-98.1249,356,6.8199,,
VAFB,Fort Belvoir,38.7090,-77.1939,353,0.9619,,
AZGR,Gila River,33.3071,-112.6833,353,2.2738,"HC, ",
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,353,3.0965,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,352,5.1956,,
FLLP,Lake Placid,27.2601,-81.3441,350,4.0936,,
