Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,1054,36.0342,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,906,10.9157,,
TXFR,Freeport,29.0172,-95.3551,637,1.5866,,
TXPM,Palmetto S.P.,29.5833,-97.5833,396,5.6330,,
TXCY,Cypress Creek,29.9561,-95.8900,393,6.6050,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,339,2.5111,,
TXBZ,Brazos Bend,29.3734,-95.6688,335,2.7686,,
FLMR,Myakka River S.P.,27.2330,-82.2360,332,4.0988,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,295,4.3382,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,280,2.4433,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,257,4.8952,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,256,4.5714,,
CRCB,"Carara Biological Reserve, Jaco, Costa Rica",9.7333,-84.6000,255,4.7222,,
FLSM,St. Marks,30.1536,-84.2227,251,3.7688,,
FLPR,Peace River,26.9243,-82.0474,240,4.5283,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,236,3.6308,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,230,4.8936,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,224,4.4094,,
TRTR,Trinidad,10.6336,-61.3390,220,8.4615,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,219,5.6154,,
PASL,Southern Lancaster County,39.8172,-76.1698,213,1.2034,,
FLLA,Lakeland,28.0261,-81.8507,204,1.6320,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,198,2.2247,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,198,1.1579,,
PAGE,Gettysburg,39.8304,-77.3177,196,1.8846,,
FLBO,Brooksville,28.5480,-82.3245,194,2.0104,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,190,2.1205,,
TXOR,Old River,29.8667,-94.7333,183,3.1122,,
TXST,San Antonio,29.3148,-98.6080,178,1.1788,,
FLGA,Gainesville,29.6027,-82.3127,173,0.9202,,
FL0V,South Brevard County,27.8667,-80.5667,166,1.9762,,
FLLP,Lake Placid,27.2601,-81.3441,165,1.6337,,
TNNL,Nickajack Lake,35.0664,-85.5113,163,2.1997,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,151,1.7765,,
FL0L,"Ortona, Glades County",26.8667,-81.3167,151,3.2128,,
TXVI,Victoria,28.8723,-97.0784,150,2.1277,,
FLCR,Crystal River,28.8712,-82.5776,150,2.0188,,
TXAU,Austin,30.1834,-97.6980,148,1.0172,,
SCCS,Carolina Sandhills N.W.R.,34.5041,-80.2249,137,3.9143,,
FLFP,Fort Pierce,27.4177,-80.3828,136,1.1333,,
BLBC,"Belize City, Belize",17.5990,-88.3822,136,2.3051,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,134,4.5424,,
FLEC,Econlockhatchee,28.7094,-81.1467,133,1.1770,,
FLVE,Venice-Englewood,27.0048,-82.3793,127,1.3511,,
WVPC,Pendleton County,38.6579,-79.3113,124,5.1029,,
VALY,Lynchburg,37.3986,-79.1942,122,1.4878,,
FLBA,Bradenton,27.5010,-82.5631,121,1.2040,,
VA0S,Blacksburg,37.2333,-80.4167,114,1.1937,,
FLLW,Lake Wales,27.8939,-81.5189,111,1.2198,,
FLKV,Kissimmee Valley,28.2062,-81.3936,110,2.1569,,
TXCO,Comstock,29.7104,-101.2531,108,3.5294,,
GACG,Callaway Gardens,32.8240,-84.8437,103,1.4148,,
FLJA,Jacksonville,30.4152,-81.4877,101,0.8559,,
LAPP,Pine Prairie,30.7643,-92.3765,98,2.0417,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,97,1.8654,,
TXWA,Waco,31.5194,-97.0451,97,1.8835,,
TXLG,Longview,32.3765,-94.7162,96,1.4118,,
ARBE,Buffalo National River (east),36.0774,-92.5836,95,1.4615,,
TXAY,Armand Bayou,29.5498,-95.0489,94,1.3429,,
FLCO,Cocoa,28.3622,-80.7026,92,0.6628,,
GAAH,Athens,33.9305,-83.3812,87,0.9560,,
SCHH,Hilton Head Island,32.2000,-80.7500,86,0.2840,,
GAPR,Piedmont N.W.R.-Rum Creek W.M.A.,33.0936,-83.7470,86,2.4713,,
GASC,St. Catherines Island,31.6351,-81.1226,86,1.5194,,
GAAB,Albany,31.4333,-84.4167,85,2.0732,,
LASA,Sabine N.W.R.,29.8545,-93.3892,82,0.5052,,
ALGU,Guntersville,34.3883,-86.2803,80,2.0000,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,80,1.5686,,
MSSH,Southern Hancock County,30.2906,-89.5034,79,0.9518,,
SCCA,Charleston,32.9333,-79.7000,79,0.9186,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,77,1.5098,,
FLNA,Naples,26.1278,-81.7645,76,0.6816,,
TXLS,La Sal Vieja,26.4849,-97.9649,76,1.0629,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,73,1.9730,,
FLWP,West Palm Beach,26.5672,-80.1270,72,0.8000,,
MDOC,Ocean City,38.3128,-75.2122,71,0.3777,,
TNBR,Buffalo River,35.3001,-87.4573,70,1.3258,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,70,1.0145,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,69,1.0486,,
TXBN,Burnet County,30.7514,-98.2750,68,1.0382,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,67,1.2523,,
TXTY,Tyler,32.2777,-95.2991,66,1.4348,,
FLFM,Fort Myers,26.5551,-81.9906,66,1.0909,,
MDSM,Sugarloaf Mountain,39.2841,-77.3920,63,0.3177,,
FLEP,East Pasco,28.3103,-82.2374,63,1.5366,,
LANA,Natchitoches,31.8240,-93.0635,62,1.4091,,
VACN,Calmes Neck,39.1242,-77.8913,61,0.4692,,
TXGC,Gibbons Creek,30.5833,-96.0000,58,0.5519,,
VAWP,Wachapreague,37.6707,-75.6998,58,0.7703,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,57,0.7917,,
MXUY,"Uxmal, Yucatan, Mexico",20.4500,-89.7500,56,2.3333,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,56,1.2727,,
TXTC,Turkey Creek,30.5168,-94.3167,56,1.1429,,
OKBB,Broken Bow Reservoir,34.0554,-94.7048,55,1.4474,,
NJNH,Northwestern Hunterdon County,40.6365,-74.9098,55,0.7534,,
TXPS,Palestine,31.7624,-95.7664,55,1.4103,,
MDTR,Triadelphia Reservoir,39.1605,-76.9885,54,0.3054,,
FL0K,Boca Grande,26.7500,-82.2667,54,1.3171,,
CLSB,"Sabana de Bogotá, Cundinamarca, Colombia",4.8000,-74.0667,53,1.3250,,
TXNA,Nacogdoches,31.5332,-94.6563,52,0.4602,,
AZNO,Nogales,31.4338,-110.9358,52,0.8215,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,51,0.5000,,
VAGS,Glade Spring,36.7883,-81.7787,51,0.8644,,
MSJA,Jackson,32.4476,-90.0040,51,0.7612,,
VA2A,Nokesville,38.6167,-77.5500,50,0.4082,,
LABR,Baton Rouge,30.3661,-91.1194,47,0.3751,,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,45,2.1127,,
TXCS,College Station,30.5930,-96.3175,45,0.6429,,
LAHO,Houma,29.6000,-90.7167,45,1.4286,,
FLST,Stuart,27.2121,-80.2624,45,0.4098,,
AR0L,Van Buren County,35.6544,-92.2677,45,0.7627,,
VARO,Roanoke,37.3034,-79.9446,44,0.6003,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,42,0.2380,,
MSJC,Jackson County,30.4366,-88.7119,42,0.6087,,
TNCO,Columbia,35.5990,-87.1613,42,1.5849,,
FLMA,Marianna,30.7167,-85.2667,41,0.5087,,
NJPR,Princeton,40.3410,-74.6649,41,0.2370,,
VACA,Charlottesville,38.0668,-78.5667,39,0.4727,,
VACC,Cape Charles,37.1899,-75.9410,39,0.1773,,
TXFW,Fort Worth,32.7661,-97.4715,38,0.3838,,
TXBE,Beech Creek,30.7667,-94.2000,38,0.7835,,
MDSE,Seneca,39.0671,-77.3285,38,0.1487,,
TXDR,Del Rio,29.4651,-100.9585,38,0.5547,,
KYKL,Kleber W.M.A.,38.4633,-84.7767,37,1.8974,,
TN07,Duck River Reservoir,35.5500,-86.9000,37,1.1212,,
FLNP,North Pinellas,28.0672,-82.7388,37,0.3814,,
MDJB,Jug Bay,38.7532,-76.6415,36,0.3377,,
LABC,Bossier-Caddo-Bienville,32.2932,-93.5026,36,0.5014,,
VAPR,Philpott Reservoir,36.8833,-80.0500,34,0.7889,,
VAGO,Gordonsville,38.1427,-78.1893,34,0.5812,,
PAEL,Elverson,40.1334,-75.7667,33,0.2920,,
ARFS,Fort Smith-Moffett,35.3818,-94.3766,33,0.8250,,
NCMA,Mattamuskeet N.W.R.,35.4500,-76.1333,32,0.5565,,
VALA,Lake Anna,38.0850,-77.8139,32,0.6400,,
TXKI,Kingsville,27.4658,-97.8551,30,0.6122,,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,30,0.4329,,
VAFI,Fincastle,37.5276,-79.8733,30,0.4348,,
LATR,Tensas River N.W.R.,32.2833,-91.3667,29,0.5169,,
TNHI,Hiwassee,35.3655,-84.9200,29,0.4394,,
TXLK,Lake Tawakoni,32.7667,-95.9167,29,0.5918,,
FLSR,Sarasota,27.2988,-82.4976,29,0.2944,,
TXBO,Boerne,29.8666,-98.7901,29,0.4427,,
FLCK,Cedar Key,29.1942,-83.0149,28,0.6467,,
FLEB,Estero Bay,26.3701,-81.8492,27,0.4865,,
LALC,Lake Charles,30.1500,-93.3000,27,0.3724,,
SCMC,McClellanville,33.1003,-79.4037,27,0.6995,,
NCCP,Chapel Hill,35.9131,-79.0558,26,0.2407,,
MDBO,Bowie,38.9927,-76.7852,26,0.1566,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,26,0.7222,,
FLWV,West Volusia County,29.0543,-81.3039,25,0.4146,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,24,1.1429,,
GACO,Columbus,32.5861,-85.0004,24,0.5106,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,23,0.4423,,
TXBU,Bell County,30.9667,-97.4500,23,0.5750,,
TNKI,Kingsport,36.5000,-82.5167,21,0.4468,,
LAJB,Johnsons Bayou,29.8010,-93.7149,20,0.2857,,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,20,0.4651,,
FLTA,Tampa,28.0107,-82.4595,20,0.1618,,
TX10,Brownsville,25.9333,-97.4500,20,0.3774,,
GAAU,Augusta,33.4393,-82.0239,20,0.4819,,
VALE,Lexington,37.8480,-79.4769,19,0.7037,,
MXGF,"Gomez Farias, Tamaulipas, Mexico",23.1118,-99.1816,19,0.2405,,
NCTR,Tryon,35.2088,-82.2390,19,0.4810,,
MDCM,Catoctin Mountain,39.6195,-77.4095,18,0.4000,,
MDST,St. Michaels,38.7506,-76.2531,17,0.0930,,
TXTE,Texarkana,33.2784,-94.2082,17,0.8095,,
CRSC,"Sirena Station, Corcovado N.P., Costa Rica",8.4800,-83.5895,17,0.3333,,
NJCC,Cumberland County,39.3325,-75.2004,17,0.1351,,
MSCH,Church Hill,31.7500,-91.1833,16,0.9697,,
MDPT,Port Tobacco,38.4833,-77.0333,16,0.2049,,
NJSA,Salem,39.6140,-75.4142,16,0.1798,,
