Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,1328,27.9579,"HC, ",
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,954,5.2131,,
VA0S,Blacksburg,37.2333,-80.4167,649,6.5358,,
FLGA,Gainesville,29.6027,-82.3127,375,2.4834,,
FLBO,Brooksville,28.5480,-82.3245,359,4.3780,,
TXFR,Freeport,29.0172,-95.3551,351,0.9750,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,319,11.0000,,
BLBC,"Belize City, Belize",17.5990,-88.3822,283,5.8653,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,266,3.3671,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,251,3.0241,,
PASL,Southern Lancaster County,39.8172,-76.1698,250,1.4286,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,246,4.8235,"HC, ",
TXST,San Antonio,29.3148,-98.6080,240,1.6901,,
TXAU,Austin,30.1834,-97.6980,238,1.6301,,
FLMR,Myakka River S.P.,27.2330,-82.2360,226,3.1389,,
TXHU,Huntsville,30.7156,-95.5520,221,8.6667,,
TXPM,Palmetto S.P.,29.5833,-97.5833,219,2.5029,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,219,4.8884,,
LARB,Reserve-Bonnet Carre Spillway,30.0867,-90.4711,212,1.9906,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,209,2.6624,,
PAGE,Gettysburg,39.8304,-77.3177,201,1.5827,,
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,190,1.6239,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,188,1.4921,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,185,1.0165,,
SCHH,Hilton Head Island,32.2000,-80.7500,182,0.6007,,
TXNA,Nacogdoches,31.5332,-94.6563,177,1.6239,,
WVLE,Lewisburg,37.8017,-80.4454,173,3.3592,,
TXVI,Victoria,28.8723,-97.0784,161,2.4769,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,153,1.4712,,
FLMA,Marianna,30.7167,-85.2667,150,1.7857,,
TXGC,Gibbons Creek,30.5833,-96.0000,133,1.8022,,
FLST,Stuart,27.2121,-80.2624,132,1.1733,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,131,0.8590,,
TNDD,Dresden,36.2833,-88.7000,130,7.2222,,
TXCO,Comstock,29.7104,-101.2531,126,4.7547,,
TX2M,Lake Conroe,30.4500,-95.6333,123,3.1139,,
FL0V,South Brevard County,27.8667,-80.5667,123,1.4471,,
FLVE,Venice-Englewood,27.0048,-82.3793,122,1.2020,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,121,2.6304,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,120,1.6438,,
TNKI,Kingsport,36.5000,-82.5167,120,2.3857,,
TXBO,Boerne,29.8666,-98.7901,115,1.6547,,
GASI,Sapelo Island,31.4500,-81.2333,115,2.0175,,
VACN,Calmes Neck,39.1242,-77.8913,115,1.6429,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,110,2.1569,,
TXLO,Lake O' the Pines,32.8001,-94.5947,109,3.6333,,
TXCC,Corpus Christi,27.8334,-97.5833,104,1.0833,,
FLSM,St. Marks,30.1536,-84.2227,103,1.2561,,
FLLW,Lake Wales,27.8939,-81.5189,103,1.0842,,
LATR,Tensas River N.W.R.,32.2833,-91.3667,103,1.1406,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,100,1.0811,,
SCMC,McClellanville,33.1003,-79.4037,99,1.0879,,
FLLA,Lakeland,28.0261,-81.8507,91,0.7490,,
FLKV,Kissimmee Valley,28.2062,-81.3936,91,0.9891,,
TXBN,Burnet County,30.7514,-98.2750,87,1.2000,,
MSHA,Hattiesburg,31.2903,-89.3133,83,1.6768,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,83,1.6667,,
LABR,Baton Rouge,30.3661,-91.1194,79,1.2520,,
NJPR,Princeton,40.3410,-74.6649,79,0.5374,,
LA0P,New Orleans,29.9667,-89.9833,78,0.8041,,
MDLK,Lower Kent County,39.1427,-76.1921,78,0.8864,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,76,1.0397,,
VAWR,Warren,37.8500,-78.5500,76,0.7343,,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,73,1.0429,,
FLNA,Naples,26.1278,-81.7645,71,0.6267,,
TRTR,Trinidad,10.6336,-61.3390,71,2.9583,,
FL0L,"Ortona, Glades County",26.8667,-81.3167,68,2.5185,,
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,67,0.2219,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,66,1.6500,,
VARC,Rockingham County,38.4318,-79.0394,65,1.1607,,
ALGS,Gulf Shores,30.3167,-87.6333,65,0.3248,,
TXLK,Lake Tawakoni,32.7667,-95.9167,65,1.1818,,
TNHI,Hiwassee,35.3655,-84.9200,63,0.8630,,
MSSH,Southern Hancock County,30.2906,-89.5034,63,1.1351,,
SCCA,Charleston,32.9333,-79.7000,61,0.7722,,
TN06,Duck River Reservoir,35.5333,-86.9000,59,1.8438,,
TXFW,Fort Worth,32.7661,-97.4715,57,0.6176,,
TXSC,Spring Creek,30.1268,-95.4432,56,0.8485,,
DCDC,Washington,38.8674,-77.0685,56,0.2189,,
TNCO,Columbia,35.5990,-87.1613,56,1.1546,,
MDPT,Port Tobacco,38.4833,-77.0333,56,0.7273,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,56,0.6747,,
GAPR,Piedmont N.W.R.-Rum Creek W.M.A.,33.0936,-83.7470,55,1.1000,,
AZNO,Nogales,31.4338,-110.9358,55,0.8594,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,54,0.5684,,
FL13,New Port Richey,28.2500,-82.7000,52,0.6753,,
MSVI,Vicksburg,32.3108,-90.9068,52,0.8739,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,51,0.4474,,
MDTR,Triadelphia Reservoir,39.1605,-76.9885,50,0.2451,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,50,0.8772,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,49,0.5568,,
TNNA,Nashville,36.0545,-86.9287,48,0.4683,,
MDOC,Ocean City,38.3128,-75.2122,46,0.2706,,
TNCC,Cross Creeks N.W.R.,36.4760,-87.7528,46,0.9388,,
TXOR,Old River,29.8667,-94.7333,46,1.3143,,
CR04,"Las Ventanas de Osa Wildlife Refuge, Costa Rica",9.0667,-83.6333,45,0.9890,,
TXCY,Cypress Creek,29.9561,-95.8900,45,0.6081,,
FLWP,West Palm Beach,26.5672,-80.1270,45,0.4206,,
LA0K,Sabine N.W.R.,29.8000,-93.4500,42,0.1599,,
FLCB,Choctawhatchee Bay,30.4462,-86.5182,42,0.3379,,
MDPL,Point Lookout,38.1061,-76.4212,41,0.4654,,
TXBZ,Brazos Bend,29.3734,-95.6688,40,0.2326,,
FLEC,Econlockhatchee,28.7094,-81.1467,40,0.3077,,
TXCS,College Station,30.5930,-96.3175,38,0.4444,,
TXDR,Del Rio,29.4651,-100.9585,37,0.9487,,
TNBI,Bristol,36.6058,-82.0999,37,1.6087,,
PAUB,Upper Bucks County,40.4036,-75.3650,35,0.2389,,
NCCP,Chapel Hill,35.9131,-79.0558,34,0.2720,,
TX13,Laguna Atascosa N.W.R.,26.2333,-97.3500,34,0.5191,,
VALY,Lynchburg,37.3986,-79.1942,34,0.2636,,
FLSR,Sarasota,27.2988,-82.4976,32,0.2832,,
MSJA,Jackson,32.4476,-90.0040,31,0.4306,,
NCWI,Wilmington,34.1401,-77.8936,31,0.6200,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,31,0.2214,,
VA2A,Nokesville,38.6167,-77.5500,31,0.5439,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,30,0.5085,,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,29,0.9477,,
TXBE,Beech Creek,30.7667,-94.2000,29,0.6042,,
VACA,Charlottesville,38.0668,-78.5667,29,0.3085,,
MDJB,Jug Bay,38.7532,-76.6415,29,0.2462,,
VABB,Back Bay N.W.R.,36.6500,-76.0000,29,0.2710,,
NCMA,Mattamuskeet N.W.R.,35.4500,-76.1333,29,0.3671,,
FLNP,North Pinellas,28.0672,-82.7388,28,0.3256,,
DERE,Rehoboth,38.6035,-75.1073,28,0.5374,,
FLWV,West Volusia County,29.0543,-81.3039,28,0.3927,,
FLCO,Cocoa,28.3622,-80.7026,27,0.1552,,
TXTY,Tyler,32.2777,-95.2991,27,0.6136,,
TXTC,Turkey Creek,30.5168,-94.3167,27,0.4286,,
MDSE,Seneca,39.0671,-77.3285,26,0.0785,,
ARML,Magnolia-Lake Columbia,33.2684,-93.2832,26,0.3210,,
TXWA,Waco,31.5194,-97.0451,26,0.4228,,
GAGC,Glynn County,31.1128,-81.4261,26,0.2149,,
TXBV,Brownsville,25.9328,-97.4748,26,0.4194,,
VAGO,Gordonsville,38.1427,-78.1893,26,0.8966,,
FLHC,Hamilton County,30.3360,-82.7595,25,0.7143,,
ALMO,Montgomery,32.3496,-86.3831,25,0.5682,,
MXUY,"Uxmal, Yucatan, Mexico",20.4500,-89.7500,25,1.1111,,
GAPC,Peachtree City,33.3468,-84.6231,25,0.2404,,
OK03,Broken Bow Reservoir,34.2000,-94.6833,25,1.0870,,
FLFM,Fort Myers,26.5551,-81.9906,25,0.3981,,
LA06,Arcadia,32.5667,-92.9500,24,0.6316,,
VARO,Roanoke,37.3034,-79.9446,23,0.2233,,
NCSB,Southport-Bald Head-Oak Islands,33.9388,-78.0265,23,0.2788,,
TXBU,Bell County,30.9667,-97.4500,22,0.5867,,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,22,0.4231,,
TXPP,Palo Pinto,32.7578,-98.2933,22,0.6027,,
TXLL,Lake Livingston (lower),30.7167,-95.0833,22,0.8271,,
VAAC,Augusta County,38.2046,-78.9913,22,0.2663,,
VAGS,Glade Spring,36.7883,-81.7787,21,0.4200,,
TXRU,Ruidosa,29.9500,-104.6667,21,0.9545,,
FLJA,Jacksonville,30.4152,-81.4877,21,0.1707,,
AL0H,Waterloo,34.8500,-88.0000,20,0.3135,,
GACI,Cumberland Island,30.8151,-81.4673,20,0.6944,,
ALMT,Mobile-Tensaw Delta,30.7500,-87.9500,19,0.3585,,
TXTR,Trinidad,32.1500,-96.1000,19,2.3750,,
MDCR,Crisfield,38.0298,-75.7577,18,0.1172,,
TXLV,Lewisville,33.0301,-96.9929,18,0.2390,,
VAWP,Wachapreague,37.6707,-75.6998,17,0.2152,,
SCSR,Savannah River Site,33.2000,-81.6167,16,0.5424,,
VACC,Cape Charles,37.1899,-75.9410,16,0.0755,,
VAWI,Williamsburg,37.2792,-76.6987,16,0.2162,,
FLCK,Cedar Key,29.1942,-83.0149,16,0.3404,,
VAWY,Waynesboro,37.9810,-78.9550,15,0.1648,,
TXNB,New Braunfels,29.7035,-98.1249,15,0.6250,,
MDSM,Sugarloaf Mountain,39.2841,-77.3920,15,0.1235,,
MSNA,Natchez,31.6167,-91.3792,15,0.3529,,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,15,0.2879,,
GAAH,Athens,33.9305,-83.3812,15,0.1250,,
FL0K,Boca Grande,26.7500,-82.2667,14,0.6364,,
MD03,Denton,38.9000,-75.8333,14,0.1458,,
LAHO,Houma,29.6000,-90.7167,14,0.2353,,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,13,0.0734,,
FLTA,Tampa,28.0107,-82.4595,13,0.1110,,
SCLP,Litchfield-Pawleys Island,33.4908,-79.0904,13,0.1793,,
ARAR,Arkadelphia,34.1333,-93.0500,13,0.1327,,
DEWI,Wilmington,39.7450,-75.6399,13,0.0942,,
ALDI,Dauphin Island,30.3385,-88.1284,13,0.2796,,
LADA,D'Arbonne,32.6583,-92.2410,12,0.1462,,
TNBR,Buffalo River,35.3001,-87.4573,12,0.2941,,
WVHC,Hampshire County,39.3365,-78.5035,12,0.1151,,
TXBP,Bolivar Peninsula,29.5504,-94.4668,12,0.1727,,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,11,0.1809,,
VADA,Danville,36.5852,-79.4233,11,0.2418,,
NCDU,Durham,36.0868,-78.8907,11,0.2115,,
NJNH,Northwestern Hunterdon County,40.6365,-74.9098,11,0.1507,,
SCLC,Long Cane,34.0000,-82.3333,10,0.4762,,
NCIC,Iredell County,35.8967,-80.8997,10,0.2273,,
ALTU,Tuscaloosa,33.2390,-87.5766,10,0.2778,,
VAMA,Mathews,37.4399,-76.3143,10,0.1145,,
TXBF,Buffalo Bayou,29.7715,-95.5699,10,0.0704,,
TX20,Armand Bayou,29.5500,-95.0667,10,0.1176,,
TXLS,La Sal Vieja,26.4849,-97.9649,9,0.1636,,
NJWV,Walnut Valley,40.9760,-75.0226,9,0.0584,,
LANA,Natchitoches,31.8240,-93.0635,9,0.2143,,
NCJL,Jordan Lake,35.6950,-79.0433,9,0.0753,,
FLFP,Fort Pierce,27.4177,-80.3828,8,0.0990,,
MDCM,Catoctin Mountain,39.6195,-77.4095,8,0.1818,,
VABR,Banister River W.M.A.,36.7327,-78.8101,8,0.4255,,
SCAI,Aiken,33.5636,-81.6179,8,0.2963,,
DEMI,Middletown,39.4753,-75.6347,8,0.0964,,
MDEL,Elkton,39.5333,-75.9424,8,0.1006,,
NJEL,Elmer,39.5834,-75.1428,8,0.0920,,
VAFI,Fincastle,37.5276,-79.8733,8,0.1290,,
FLPS,Port St. Joe,29.7703,-85.2986,7,0.1667,,
VAHO,Hopewell,37.3670,-77.2842,7,0.0676,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,7,0.0443,,
VALE,Lexington,37.8480,-79.4769,7,0.1474,,
TNNL,Nickajack Lake,35.0664,-85.5113,7,0.0805,,
