Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TXFR,Freeport,29.0172,-95.3551,808,2.1867,,
TRTR,Trinidad,10.6336,-61.3390,742,25.1525,,
FLMR,Myakka River S.P.,27.2330,-82.2360,570,7.0370,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,562,30.7945,,
TXFW,Fort Worth,32.7661,-97.4715,475,3.8306,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,447,5.1676,,
GAPR,Piedmont N.W.R.-Rum Creek W.M.A.,33.0936,-83.7470,431,6.0491,,
MDPT,Port Tobacco,38.4833,-77.0333,413,4.9167,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,404,3.1811,,
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,393,2.4372,,
PAGE,Gettysburg,39.8304,-77.3177,376,4.0000,,
TXBZ,Brazos Bend,29.3734,-95.6688,370,3.3945,,
AR0L,Van Buren County,35.6544,-92.2677,337,5.1061,,
TXPM,Palmetto S.P.,29.5833,-97.5833,313,4.9683,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,297,2.1367,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,282,6.7143,,
FLSM,St. Marks,30.1536,-84.2227,278,2.4821,,
PASL,Southern Lancaster County,39.8172,-76.1698,274,1.1760,,
HOLA,"Lancetilla, Honduras",15.7667,-87.4500,270,6.1364,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,266,2.3282,,
TXBN,Burnet County,30.7514,-98.2750,264,3.7053,,
TXGC,Gibbons Creek,30.5833,-96.0000,247,3.7283,,
SCSR,Savannah River Site,33.2000,-81.6167,247,4.6168,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,246,2.4600,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,233,1.4383,,
MSVI,Vicksburg,32.3108,-90.9068,225,3.0405,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,225,3.0508,,
SCHH,Hilton Head Island,32.2000,-80.7500,191,0.4942,,
TXCY,Cypress Creek,29.9561,-95.8900,187,1.9082,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,183,2.9516,,
FLFP,Fort Pierce,27.4177,-80.3828,176,1.2941,,
FLLA,Lakeland,28.0261,-81.8507,173,1.3359,,
TXCO,Comstock,29.7104,-101.2531,171,4.7500,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,167,4.8406,,
LAHO,Houma,29.6000,-90.7167,165,3.3000,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,157,1.6658,,
FLVE,Venice-Englewood,27.0048,-82.3793,150,1.1628,,
VA0S,Blacksburg,37.2333,-80.4167,148,1.0744,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,147,1.9600,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,143,1.2328,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,138,1.5771,,
KYKL,Kleber W.M.A.,38.4633,-84.7767,134,4.4667,,
SCAB,Ace Basin,32.6126,-80.4813,131,2.4259,,
FLLP,Lake Placid,27.2601,-81.3441,130,1.2500,,
DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,126,2.2009,,
TNHI,Hiwassee,35.3655,-84.9200,124,1.5897,,
FLKV,Kissimmee Valley,28.2062,-81.3936,123,1.9370,,
VALY,Lynchburg,37.3986,-79.1942,122,1.5844,,
MDTR,Triadelphia Reservoir,39.1605,-76.9885,122,0.5635,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,120,3.8095,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,120,1.9835,,
FL0V,South Brevard County,27.8667,-80.5667,118,1.1346,,
TXST,San Antonio,29.3148,-98.6080,117,0.7222,,
FLCR,Crystal River,28.8712,-82.5776,116,1.4365,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,114,1.5200,,
FLCO,Cocoa,28.3622,-80.7026,111,0.9528,,
FLLW,Lake Wales,27.8939,-81.5189,110,0.8696,,
SCCA,Charleston,32.9333,-79.7000,109,1.1414,,
FLST,Stuart,27.2121,-80.2624,105,0.6988,,
TXAU,Austin,30.1834,-97.6980,103,0.6329,,
MDOC,Ocean City,38.3128,-75.2122,102,0.6538,,
VAWR,Warren,37.8500,-78.5500,101,1.0306,,
FLBO,Brooksville,28.5480,-82.3245,101,1.2024,,
FLEP,East Pasco,28.3103,-82.2374,98,1.6471,,
MXCV,"Catemaco, Veracruz, Mexico",18.4833,-95.0333,95,2.7143,,
FLFM,Fort Myers,26.5551,-81.9906,94,1.0805,,
TXSC,Spring Creek,30.1268,-95.4432,92,1.7692,,
FLJA,Jacksonville,30.4152,-81.4877,91,0.5617,,
TX13,Laguna Atascosa N.W.R.,26.2333,-97.3500,91,1.1629,,
MOTC,Taney County,36.6070,-93.1830,90,1.8947,,
BLBC,"Belize City, Belize",17.5990,-88.3822,90,1.6981,,
VACC,Cape Charles,37.1899,-75.9410,89,0.8812,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,89,1.0659,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,85,0.5822,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,82,0.3644,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,81,3.6000,,
FLPR,Peace River,26.9243,-82.0474,81,0.5912,,
TXDR,Del Rio,29.4651,-100.9585,77,1.3509,,
TXCA,Caddo National Grasslands,33.7405,-96.0024,76,1.1429,,
FLGA,Gainesville,29.6027,-82.3127,76,0.4086,,
VABR,Banister River W.M.A.,36.7327,-78.8101,75,1.5306,,
ARML,Magnolia-Lake Columbia,33.2684,-93.2832,73,0.9359,,
FLHC,Hamilton County,30.3360,-82.7595,73,2.0000,,
VAGS,Glade Spring,36.7883,-81.7787,71,1.3396,,
VACA,Charlottesville,38.0668,-78.5667,70,0.6195,,
SCAI,Aiken,33.5636,-81.6179,64,1.4222,,
VALA,Lake Anna,38.0850,-77.8139,63,1.0815,,
TXCC,Corpus Christi,27.8334,-97.5833,62,0.5345,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,62,0.8857,,
TXTY,Tyler,32.2777,-95.2991,62,1.4762,,
MSJA,Jackson,32.4476,-90.0040,61,1.0083,,
FLBA,Bradenton,27.5010,-82.5631,61,0.5214,,
TXWA,Waco,31.5194,-97.0451,61,1.1041,,
MDSE,Seneca,39.0671,-77.3285,60,0.1637,,
WVPC,Pendleton County,38.6579,-79.3113,60,1.3333,,
TXLK,Lake Tawakoni,32.7667,-95.9167,58,1.0265,,
FLSR,Sarasota,27.2988,-82.4976,58,0.5202,,
NCMC,Morehead City,34.7590,-76.7094,57,0.5700,,
MDLK,Lower Kent County,39.1427,-76.1921,57,0.8352,,
VA2A,Nokesville,38.6167,-77.5500,57,0.4270,,
VA0C,Martinsville,36.7333,-79.8167,56,1.2655,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,56,0.4156,,
CLSB,"Sabana de Bogotá, Cundinamarca, Colombia",4.8000,-74.0667,55,1.3095,,
TXLG,Longview,32.3765,-94.7162,54,0.9351,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,53,0.5873,,
TXNA,Nacogdoches,31.5332,-94.6563,53,0.3569,,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,52,0.9369,,
MDCR,Crisfield,38.0298,-75.7577,51,0.5426,,
FLCB,Choctawhatchee Bay,30.4462,-86.5182,51,0.4232,,
FLMA,Marianna,30.7167,-85.2667,47,0.4974,,
FLEC,Econlockhatchee,28.7094,-81.1467,47,0.3481,,
MXUY,"Uxmal, Yucatan, Mexico",20.4500,-89.7500,44,2.2000,,
LASH,Shreveport,32.5371,-93.8922,44,0.6567,,
PALA,Lancaster,39.9921,-76.3614,44,0.5000,,
MXGF,"Gomez Farias, Tamaulipas, Mexico",23.1118,-99.1816,42,0.5316,,
MSNA,Natchez,31.6167,-91.3792,42,0.7887,,
CLSM,"Santa Marta, Magdalena, Colombia",11.0333,-74.1500,41,2.4118,,
FLNA,Naples,26.1278,-81.7645,41,0.3354,,
FLFL,Fort Lauderdale,26.1360,-80.2191,41,0.5325,,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,41,0.4260,,
LABC,Bossier-Caddo-Bienville,32.2932,-93.5026,40,0.6299,,
GASC,St. Catherines Island,31.6351,-81.1226,39,0.5200,,
