Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,1583,10.9172,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,517,3.3035,,
FLWP,West Palm Beach,26.5672,-80.1270,470,3.4058,,
FLMR,Myakka River S.P.,27.2330,-82.2360,407,4.7882,,
VACA,Charlottesville,38.0668,-78.5667,376,3.5810,,
TRTR,Trinidad,10.6336,-61.3390,330,13.2000,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,303,5.5596,,
FLCO,Cocoa,28.3622,-80.7026,297,1.5076,,
FLVE,Venice-Englewood,27.0048,-82.3793,282,4.7000,,
TXFR,Freeport,29.0172,-95.3551,241,0.6167,,
VA0S,Blacksburg,37.2333,-80.4167,239,2.5026,,
TXST,San Antonio,29.3148,-98.6080,193,1.2215,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,176,1.4024,,
FL0V,South Brevard County,27.8667,-80.5667,175,1.3672,,
TNHI,Hiwassee,35.3655,-84.9200,173,3.1743,,
TXNA,Nacogdoches,31.5332,-94.6563,169,1.3852,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,168,1.6154,,
FLST,Stuart,27.2121,-80.2624,164,2.0759,,
TXOR,Old River,29.8667,-94.7333,159,2.0921,,
FLLW,Lake Wales,27.8939,-81.5189,146,1.3519,,
VZ01,"Rancho Grande, Aragua, Venezuela",10.3980,-67.6600,145,2.5000,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,143,1.9324,,
FLJA,Jacksonville,30.4152,-81.4877,133,0.8418,,
FLKV,Kissimmee Valley,28.2062,-81.3936,129,1.6329,,
SCCA,Charleston,32.9333,-79.7000,128,1.5238,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,119,2.5319,,
MX07,"Bahia Kino, Sonora, Mexico",28.8333,-111.9000,115,10.2222,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,109,1.9123,,
TXBN,Burnet County,30.7514,-98.2750,108,1.7419,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,107,0.7329,,
VAWR,Warren,37.8500,-78.5500,100,1.0309,,
GABL,Bainbridge-Lake Seminole,30.8850,-84.6315,98,2.1778,,
CR02,"Turrialba, Costa Rica",9.9000,-83.6833,97,1.8654,,
TN0N,Ashland City,36.3167,-87.1167,96,2.2326,,
FLSR,Sarasota,27.2988,-82.4976,93,0.9894,,
FLFP,Fort Pierce,27.4177,-80.3828,93,0.8942,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,92,6.5714,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,91,0.6741,,
TNBI,Bristol,36.6058,-82.0999,82,2.4848,,
TX2N,Lake Conroe,30.4667,-95.6333,80,1.4815,,
FLGA,Gainesville,29.6027,-82.3127,77,0.5256,,
LANA,Natchitoches,31.8240,-93.0635,76,1.9000,,
TXHU,Huntsville,30.7156,-95.5520,75,1.4019,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,74,0.9308,,
FL13,New Port Richey,28.2500,-82.7000,72,1.4400,,
GACG,Callaway Gardens,32.8240,-84.8437,72,1.2040,,
SCSR,Savannah River Site,33.2000,-81.6167,71,1.4792,,
PASL,Southern Lancaster County,39.8172,-76.1698,70,0.5469,,
FLNP,North Pinellas,28.0672,-82.7388,70,0.8140,,
SCHH,Hilton Head Island,32.2000,-80.7500,69,0.5130,,
FLNA,Naples,26.1278,-81.7645,67,0.9571,,
FLFM,Fort Myers,26.5551,-81.9906,63,0.8025,,
MD0T,Liberty Reservoir,39.4500,-76.9000,62,0.3032,,
MXGF,"Gomez Farias, Tamaulipas, Mexico",23.1118,-99.1816,62,0.9538,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,60,0.7101,,
