Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLEC,Econlockhatchee,28.7094,-81.1467,2300,17.8295,"HC, ",
FLCO,Cocoa,28.3622,-80.7026,1150,8.4871,"HC, ",
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,1000,2.6738,"HC, ",
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.5330,-96.8635,947,4.7588,"HC, ",
FLLA,Lakeland,28.0261,-81.8507,899,7.1067,,
FLAL,Alafia Banks,27.7920,-82.3349,860,11.6610,"HC, ",RN
FLMR,Myakka River S.P.,27.2330,-82.2360,770,10.7692,,
TXFR,Freeport,29.0172,-95.3551,760,2.9980,,
FLPI,Ponce Inlet,29.0623,-81.0073,715,7.4674,"HC, ",
FLSB,South Brevard County,27.8486,-80.5500,700,5.1376,,
TXAU,Austin,30.1834,-97.6980,687,4.9159,,
MDRR,Rock Run,39.6041,-76.1670,651,4.6417,"HC, ",
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,650,10.8333,,
FLGA,Gainesville,29.6027,-82.3127,625,2.5988,,
FLFP,Fort Pierce,27.4177,-80.3828,623,17.5493,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,600,5.2980,,
TXNB,New Braunfels,29.7035,-98.1249,584,8.7164,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,583,3.5767,"HC, ",
FLEM,Emeralda-Sunnyhill,28.9718,-81.8529,580,3.5692,"HC, ",
TXBZ,Brazos Bend,29.3734,-95.6688,517,4.9592,,
FLLC,Lake City,30.1894,-82.6371,500,12.8205,,
FLWM,West Marion County,29.0937,-82.3538,475,4.4917,,
FLWR,Wekiva River,28.7863,-81.3679,475,4.6914,,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,470,2.8144,"HC, ",
FLPR,Peace River,26.9243,-82.0474,470,3.4058,"HC, ",
TXST,San Antonio,29.3148,-98.6080,463,5.5783,,
LABR,Baton Rouge,30.3661,-91.1194,447,3.3111,"HC, ",
TXPM,Palmetto S.P.,29.5833,-97.5833,446,10.6190,,
TXWP,Westcave Preserve,30.3553,-98.0296,429,4.2162,,
FLCR,Crystal River,28.8712,-82.5776,423,6.4580,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,420,2.9577,,
FLBO,Brooksville,28.5480,-82.3245,400,4.7619,"HC, ",
FLJC,Jackson County,30.8916,-85.1612,400,6.7227,,
VABL,Blacksburg,37.2153,-80.4690,374,3.6223,,
TNWH,White County,35.9082,-85.5980,371,5.9839,,
ALGU,Guntersville,34.3883,-86.2803,367,4.8289,,
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,356,2.3733,,
FLBA,Bradenton,27.5010,-82.5631,352,4.1657,,
TXBN,Burnet County,30.7514,-98.2750,340,5.1128,,
TXLK,Lake Tawakoni,32.7667,-95.9167,337,7.1702,,
TXVI,Victoria,28.8723,-97.0784,336,4.5714,,
TXBO,Boerne,29.8666,-98.7901,334,3.8501,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,333,3.0833,,
TXBF,Buffalo Bayou,29.7715,-95.5699,313,2.2437,,
MXCS,"Canon del Sumidero, Mexico",16.8284,-93.1062,311,12.4400,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,308,2.8718,,
FLLP,Lake Placid,27.2601,-81.3441,300,3.5503,,
FLWV,West Volusia County,29.0543,-81.3039,298,5.7308,,
FLSM,St. Marks,30.1536,-84.2227,294,3.6409,,
TXCY,Cypress Creek,29.9561,-95.8900,293,2.2802,,
TXTY,Tyler,32.2777,-95.2991,292,2.4384,"HC, ",
OHCI,Cincinnati,39.1000,-84.3000,292,1.6133,"HC, ",
FLVE,Venice-Englewood,27.0048,-82.3793,280,0.6229,,
TXOR,Old River,29.8667,-94.7333,276,4.2462,,
MDJB,Jug Bay,38.7532,-76.6415,269,1.8713,,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,268,4.3934,,
TNKI,Kingsport,36.5000,-82.5167,268,4.4854,,
