Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,1121,6.9412,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,874,30.6667,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,682,5.4560,,
FLLA,Lakeland,28.0261,-81.8507,680,5.9912,,
FLMR,Myakka River S.P.,27.2330,-82.2360,674,9.3611,,
TXFR,Freeport,29.0172,-95.3551,527,1.3325,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,515,3.1212,,
TXAU,Austin,30.1834,-97.6980,438,3.2871,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,424,5.1865,,
FLKV,Kissimmee Valley,28.2062,-81.3936,407,4.9939,,
MXRL,"Rancho los Colorados, Tamaulipas, Mexico",22.9667,-97.8667,405,10.3846,,
TXFW,Fort Worth,32.7661,-97.4715,403,2.6254,,
TXPM,Palmetto S.P.,29.5833,-97.5833,401,6.1692,,
TXBZ,Brazos Bend,29.3734,-95.6688,372,4.4286,,
FLWV,West Volusia County,29.0543,-81.3039,360,6.5753,,
FLBA,Bradenton,27.5010,-82.5631,351,4.0114,,
FLST,Stuart,27.2121,-80.2624,349,1.7990,,
FLLP,Lake Placid,27.2601,-81.3441,330,2.3571,,
FL0V,South Brevard County,27.8667,-80.5667,330,2.6190,,
TRTR,Trinidad,10.6336,-61.3390,323,8.6711,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,322,1.3879,,
FLCO,Cocoa,28.3622,-80.7026,320,2.5197,,
FLLW,Lake Wales,27.8939,-81.5189,297,1.6971,,
FLVE,Venice-Englewood,27.0048,-82.3793,296,2.8808,,
TXBN,Burnet County,30.7514,-98.2750,294,4.1263,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,291,4.0417,,
FLSR,Sarasota,27.2988,-82.4976,289,2.6273,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,286,2.4708,,
TXVI,Victoria,28.8723,-97.0784,281,2.9814,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,272,4.3175,,
FL0N,Jonathan Dickinson S.P.,27.0167,-80.1167,271,2.7795,,
TNNA,Nashville,36.0545,-86.9287,267,4.4315,,
TXLG,Longview,32.3765,-94.7162,259,1.9044,,
TXAY,Armand Bayou,29.5498,-95.0489,256,2.4615,,
TXNA,Nacogdoches,31.5332,-94.6563,245,5.1042,,
TXBO,Boerne,29.8666,-98.7901,242,2.6667,,
TXCK,Choke Canyon,28.4913,-98.3082,238,4.5769,,
TXCS,College Station,30.5930,-96.3175,237,2.4688,,
TXBF,Buffalo Bayou,29.7715,-95.5699,235,1.5563,,
TXLO,Lake O' the Pines,32.8001,-94.5947,228,2.4918,,
TXGC,Gibbons Creek,30.5833,-96.0000,223,3.7012,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,222,3.4154,,
FLNA,Naples,26.1278,-81.7645,218,1.7796,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,217,1.5556,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,211,1.7366,,
FLPI,Ponce Inlet,29.0623,-81.0073,206,2.9534,,
FLVB,Vero Beach,27.6667,-80.4167,204,2.2921,,
FLEC,Econlockhatchee,28.7094,-81.1467,196,1.5743,,
BLBC,"Belize City, Belize",17.5990,-88.3822,196,4.0412,,
NCSL,Southern Lake Norman,35.4326,-80.8702,185,2.2222,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,176,0.8606,,
FLCR,Crystal River,28.8712,-82.5776,172,2.1911,,
TXLK,Lake Tawakoni,32.7667,-95.9167,169,2.6000,,
TXST,San Antonio,29.3148,-98.6080,169,1.3938,,
FLGA,Gainesville,29.6027,-82.3127,168,0.9532,,
MSJA,Jackson,32.4476,-90.0040,163,2.4697,,
