Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TXLK,Lake Tawakoni,32.7667,-95.9167,906,20.5909,"HC, ",
FLLA,Lakeland,28.0261,-81.8507,835,7.0913,,
TXFR,Freeport,29.0172,-95.3551,816,2.8531,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,775,8.8319,"HC, ",
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,775,5.7196,"HC, ",
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,765,10.9286,"HC, ",
TXCK,Choke Canyon,28.4913,-98.3082,727,10.5362,,
TXST,San Antonio,29.3148,-98.6080,661,5.5430,"HC, ",
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,640,4.7337,,
FLSB,South Brevard County,27.8486,-80.5500,640,5.7658,,
FLKV,Kissimmee Valley,28.2062,-81.3936,635,9.9219,"HC, ",
FLLP,Lake Placid,27.2601,-81.3441,600,5.3571,,
FLEC,Econlockhatchee,28.7094,-81.1467,585,5.5059,,
FLCO,Cocoa,28.3622,-80.7026,580,4.2491,"HC, ",
TXDR,Del Rio,29.4651,-100.9585,563,17.8730,"HC, ",
FLNA,Naples,26.1278,-81.7645,550,4.8932,,
TXPM,Palmetto S.P.,29.5833,-97.5833,531,6.9868,,
TXBF,Buffalo Bayou,29.7715,-95.5699,468,2.7982,"HC, ",
NCFL,Falls Lake,35.9969,-78.6162,464,4.3568,"HC, ",
TXNB,New Braunfels,29.7035,-98.1249,457,6.2177,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,430,3.0432,,
FLBA,Bradenton,27.5010,-82.5631,425,4.3147,,
FLLW,Lake Wales,27.8939,-81.5189,420,0.9700,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,411,1.1019,,
FLWR,Wekiva River,28.7863,-81.3679,385,5.3103,"HC, ",
CRRF,"Rainforest Adventures Atlantic, Costa Rica",10.1202,-83.5125,373,1.1748,,
CRLM,"Fila Costera (la Merced), Costa Rica",9.1404,-83.4639,366,2.7416,,
TXFW,Fort Worth,32.7661,-97.4715,366,1.8030,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,358,1.9247,,
TRTR,Trinidad,10.6336,-61.3390,328,8.8649,,
VABL,Blacksburg,37.2153,-80.4690,315,2.6453,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,309,0.0000,,
TNNL,Nickajack Lake,35.0664,-85.5113,299,4.8618,,
FLAL,Alafia Banks,27.7920,-82.3349,290,4.6774,,
