Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TRTR,Trinidad,10.6336,-61.3390,1133,49.2609,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,551,2.9000,,
VA0S,Blacksburg,37.2333,-80.4167,467,3.7967,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,429,2.3189,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,429,4.6228,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,418,6.1926,,
FLWP,West Palm Beach,26.5672,-80.1270,378,3.2870,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,278,2.4279,,
VARC,Rockingham County,38.4318,-79.0394,277,4.0438,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,267,7.2162,,
TNCO,Columbia,35.5990,-87.1613,245,7.2059,,
SCSR,Savannah River Site,33.2000,-81.6167,207,4.8706,,
PAGE,Gettysburg,39.8304,-77.3177,202,2.2697,,
FLSM,St. Marks,30.1536,-84.2227,192,2.4000,,
TNKI,Kingsport,36.5000,-82.5167,182,3.8723,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,178,3.1228,,
FLMR,Myakka River S.P.,27.2330,-82.2360,168,2.1818,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,158,5.1803,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,153,1.2911,,
BLBC,"Belize City, Belize",17.5990,-88.3822,137,2.5607,,
PASL,Southern Lancaster County,39.8172,-76.1698,137,0.9320,,
TXFW,Fort Worth,32.7661,-97.4715,132,1.5942,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,125,2.9762,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,125,1.1792,,
FLLA,Lakeland,28.0261,-81.8507,121,1.1635,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,115,1.1735,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,114,1.5200,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,111,2.1346,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,109,0.8634,,
FLCO,Cocoa,28.3622,-80.7026,107,0.7868,,
TXNA,Nacogdoches,31.5332,-94.6563,102,1.2593,,
TXFR,Freeport,29.0172,-95.3551,102,0.2894,,
IN1W,Hanover-Madison,38.7167,-85.4667,97,2.7714,,
FLVE,Venice-Englewood,27.0048,-82.3793,97,1.3857,,
FLGA,Gainesville,29.6027,-82.3127,94,0.9792,,
FLKV,Kissimmee Valley,28.2062,-81.3936,94,1.2966,,
FLWV,West Volusia County,29.0543,-81.3039,93,1.4692,,
FLBO,Brooksville,28.5480,-82.3245,91,1.0833,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,89,1.1558,,
FL0V,South Brevard County,27.8667,-80.5667,89,0.7479,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,87,3.1071,,
MDPL,Point Lookout,38.1061,-76.4212,84,1.0500,,
FLST,Stuart,27.2121,-80.2624,84,1.0120,,
MDPT,Port Tobacco,38.4833,-77.0333,82,0.8200,,
TXHU,Huntsville,30.7156,-95.5520,82,2.5231,,
TN0N,Ashland City,36.3167,-87.1167,82,1.3333,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,79,1.7363,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,77,1.5400,,
FLMA,Marianna,30.7167,-85.2667,76,1.1728,,
MDOC,Ocean City,38.3128,-75.2122,72,0.3288,,
MD0T,Liberty Reservoir,39.4500,-76.9000,70,0.3535,,
VAWR,Warren,37.8500,-78.5500,68,0.7556,,
FLLW,Lake Wales,27.8939,-81.5189,67,0.7791,,
FLSR,Sarasota,27.2988,-82.4976,66,0.5841,,
MXUY,"Uxmal, Yucatan, Mexico",20.4500,-89.7500,65,3.8235,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,64,1.6410,,
WVHC,Hampshire County,39.3365,-78.5035,64,0.3821,,
MDLK,Lower Kent County,39.1427,-76.1921,63,0.5727,,
TX37,Trinity Valley,31.4333,-95.4500,61,1.8598,,
TX23,Palmetto S.P.,29.6000,-97.5833,61,0.7305,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,61,0.0000,,
TX2Y,Lake Livingston (upper),30.8667,-95.3167,61,2.5103,,
VAAC,Augusta County,38.2046,-78.9913,59,0.7195,,
MSJA,Jackson,32.4476,-90.0040,58,0.6591,,
GAAB,Albany,31.4333,-84.4167,58,1.5026,,
VABB,Back Bay N.W.R.,36.6500,-76.0000,57,0.5044,,
FLFL,Fort Lauderdale,26.1360,-80.2191,56,0.4786,,
TXAU,Austin,30.1834,-97.6980,55,0.3481,,
FL13,New Port Richey,28.2500,-82.7000,54,0.7826,,
TN0G,Lebanon,36.2500,-86.3667,54,1.0800,,
MDWC,Washington County,39.5656,-77.7308,52,0.4194,,
SCHH,Hilton Head Island,32.2000,-80.7500,48,0.2874,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,46,0.9020,,
MDJB,Jug Bay,38.7532,-76.6415,46,0.2722,,
TX2M,Lake Conroe,30.4500,-95.6333,46,1.1500,,
FLJA,Jacksonville,30.4152,-81.4877,45,0.3409,,
FLFP,Fort Pierce,27.4177,-80.3828,45,0.3620,,
LABR,Baton Rouge,30.3661,-91.1194,45,0.7317,,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,44,0.6197,,
VAWP,Wachapreague,37.6707,-75.6998,43,1.5357,,
PAEL,Elverson,40.1334,-75.7667,42,0.3889,,
OK03,Broken Bow Reservoir,34.2000,-94.6833,42,1.7500,,
TXTR,Trinidad,32.1500,-96.1000,41,5.1250,,
TX25,Buffalo Bayou,29.7500,-95.5500,40,0.7692,,
TXCC,Corpus Christi,27.8334,-97.5833,38,0.7116,,
MDCR,Crisfield,38.0298,-75.7577,36,0.2432,,
FL1B,Singing Forest,28.7833,-82.2833,35,0.5833,,
MDSD,Southern Dorchester County,38.3617,-76.0371,35,0.3846,,
TN07,Duck River Reservoir,35.5500,-86.9000,34,1.1333,,
MXGF,"Gomez Farias, Tamaulipas, Mexico",23.1118,-99.1816,34,0.3434,,
TXBO,Boerne,29.8666,-98.7901,32,0.3019,,
TXBE,Beech Creek,30.7667,-94.2000,31,3.8750,,
DCDC,Washington,38.8674,-77.0685,31,0.1131,,
MD03,Denton,38.9000,-75.8333,31,0.5082,,
VAWI,Williamsburg,37.2792,-76.6987,31,0.3039,,
GABL,Bainbridge-Lake Seminole,30.8850,-84.6315,30,0.9091,,
MSNA,Natchez,31.6167,-91.3792,29,0.8529,,
VACA,Charlottesville,38.0668,-78.5667,29,0.2871,,
TX0N,Hagerman N.W.R.,33.7167,-96.7333,29,0.4915,,
MDCM,Catoctin Mountain,39.6195,-77.4095,28,0.4118,,
FLNA,Naples,26.1278,-81.7645,28,0.4088,,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,27,0.5192,,
LA06,Arcadia,32.5667,-92.9500,27,0.7714,,
FLHC,Hamilton County,30.3360,-82.7595,27,2.3478,,
NCJL,Jordan Lake,35.6950,-79.0433,26,0.2723,,
SCCS,Carolina Sandhills N.W.R.,34.5041,-80.2249,26,2.2609,,
TXPS,Palestine,31.7624,-95.7664,25,0.8333,,
TXCS,College Station,30.5930,-96.3175,24,0.2581,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,24,0.3333,,
MDSE,Seneca,39.0671,-77.3285,23,0.0612,,
TXTY,Tyler,32.2777,-95.2991,23,0.4792,,
MSHA,Hattiesburg,31.2903,-89.3133,22,0.4231,,
VAGO,Gordonsville,38.1427,-78.1893,21,0.3889,,
MSVI,Vicksburg,32.3108,-90.9068,21,0.3665,,
AR02,Magnolia,33.2667,-93.2333,21,0.5385,,
MDST,St. Michaels,38.7506,-76.2531,21,0.1875,,
SCMC,McClellanville,33.1003,-79.4037,20,0.2597,,
TNNA,Nashville,36.0545,-86.9287,20,0.2500,,
LA0H,Jean Lafitte National Historical Park,29.8000,-90.1333,20,2.8571,,
VAFI,Fincastle,37.5276,-79.8733,20,0.2273,,
VALY,Lynchburg,37.3986,-79.1942,20,0.1626,,
TXCO,Comstock,29.7104,-101.2531,19,0.5938,,
TXWA,Waco,31.5194,-97.0451,19,0.4524,,
SCCA,Charleston,32.9333,-79.7000,19,0.2992,,
VAHO,Hopewell,37.3670,-77.2842,18,0.1607,,
GASI,Sapelo Island,31.4500,-81.2333,17,0.3617,,
LA0K,Sabine N.W.R.,29.8000,-93.4500,17,0.0939,,
TX2B,Cypress Creek,29.9167,-95.7500,17,0.2881,,
VAWY,Waynesboro,37.9810,-78.9550,17,0.2537,,
TXRU,Ruidosa,29.9500,-104.6667,16,0.4598,,
MDTR,Triadelphia Reservoir,39.1605,-76.9885,16,0.0808,,
VA1N,Chancellorsville,38.2833,-77.6500,16,0.4156,,
GA04,Piedmont N.W.R.,33.0500,-83.7167,15,0.7500,,
FLSA,St. Augustine,29.9333,-81.3162,15,0.1685,,
LA0P,New Orleans,29.9667,-89.9833,15,0.1630,,
FLNP,North Pinellas,28.0672,-82.7388,14,0.1667,,
TXNB,New Braunfels,29.7035,-98.1249,14,0.5185,,
PALA,Lancaster,39.9921,-76.3614,14,0.1842,,
NJSA,Salem,39.6140,-75.4142,13,0.1130,,
TXPP,Palo Pinto,32.7578,-98.2933,13,0.4483,,
FLFM,Fort Myers,26.5551,-81.9906,12,0.1818,,
MDBO,Bowie,38.9927,-76.7852,12,0.0359,,
ARAR,Arkadelphia,34.1333,-93.0500,12,0.1579,,
TNBI,Bristol,36.6058,-82.0999,11,0.3143,,
GADU,Dublin,32.6297,-82.9239,11,1.2222,,
GACG,Callaway Gardens,32.8240,-84.8437,11,0.1982,,
LASH,Shreveport,32.5371,-93.8922,10,0.1408,,
AZ11,Nogales,31.3833,-110.9167,10,0.0690,,
NCDU,Durham,36.0868,-78.8907,9,0.1682,,
GAMA,Macon,32.8321,-83.6663,9,0.1549,,
TXLL,Lake Livingston (lower),30.7167,-95.0833,9,0.2069,,
TXPA,Port Aransas,27.8502,-97.1000,9,0.1368,,
FLTA,Tampa,28.0107,-82.4595,9,0.0174,,
TXKI,Kingsville,27.4658,-97.8551,9,0.1915,,
KYBF,Bernheim Forest,37.9024,-85.6275,8,0.1975,,
AL0M,Dauphin Island,30.3000,-88.1333,8,0.2462,,
GAAH,Athens,33.9305,-83.3812,8,0.1127,,
TXBN,Burnet County,30.7514,-98.2750,8,0.1099,,
TXCR,Crawford,31.5560,-97.3556,7,0.2593,,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,7,0.0496,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,7,0.3333,,
NJEL,Elmer,39.5834,-75.1428,7,0.0711,,
MSSH,Southern Hancock County,30.2906,-89.5034,7,0.1373,,
VADA,Danville,36.5852,-79.4233,7,0.1609,,
MSJC,Jackson County,30.4366,-88.7119,7,0.0966,,
VAGS,Glade Spring,36.7883,-81.7787,7,0.1443,,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,7,0.0625,,
KYLE,Lexington,37.9227,-84.4719,6,0.0723,,
OH0E,Logan,39.4833,-82.3667,6,0.0833,,
VABK,Brooke,38.3703,-77.3287,6,0.0789,,
TNCL,Clarksville,36.5000,-87.3833,6,0.1418,,
FLCK,Cedar Key,29.1942,-83.0149,6,0.1250,,
TXLV,Lewisville,33.0301,-96.9929,5,0.0709,,
TX14,Laguna Atascosa N.W.R.,26.2333,-97.3833,5,0.0893,,
VALE,Lexington,37.8480,-79.4769,5,0.0862,,
NCCP,Chapel Hill,35.9131,-79.0558,5,0.0342,,
LANA,Natchitoches,31.8240,-93.0635,5,0.1923,,
ARME,Mena,34.5833,-94.2333,5,0.1080,,
KYKL,Kleber W.M.A.,38.4633,-84.7767,4,0.1905,,
DERE,Rehoboth,38.6035,-75.1073,4,0.0357,,
PACB,Central Bucks County,40.3102,-75.1017,4,0.0370,,
TNBR,Buffalo River,35.3001,-87.4573,4,0.0851,,
MDEL,Elkton,39.5333,-75.9424,4,0.0661,,
WVPC,Pendleton County,38.6579,-79.3113,4,0.1250,,
KYFR,Frankfort,38.2271,-84.8525,4,0.0580,,
OHPC,Paint Creek Area,39.2622,-83.4450,4,0.1667,,
OHAC,Adams County,38.7953,-83.5461,4,0.1429,,
VARO,Roanoke,37.3034,-79.9446,4,0.0317,,
FLDC,Dade County,25.8402,-80.1883,4,0.0930,,
VACN,Calmes Neck,39.1242,-77.8913,3,0.0488,,
VAPO,Peaks of Otter,37.4500,-79.6000,3,0.1364,,
TXCA,Caddo National Grasslands,33.7405,-96.0024,3,0.1024,,
MSSL,Sardis Lake,34.4369,-89.7010,3,0.0625,,
WVCT,Charles Town,39.3319,-77.8512,3,0.0462,,
NCRA,Raleigh,35.7622,-78.6593,3,0.0270,,
NCMC,Morehead City,34.7590,-76.7094,3,0.0353,,
DEMI,Middletown,39.4753,-75.6347,3,0.0317,,
TX2H,Spring Creek,30.1333,-95.4500,3,0.0536,,
SCCE,Chester,34.7000,-81.2167,3,0.1422,,
SCCO,Columbia,33.9300,-80.9214,3,0.0714,,
FLSP,St. Petersburg,27.7991,-82.6794,2,0.0182,,
TXVI,Victoria,28.8723,-97.0784,2,0.0690,,
NCIC,Iredell County,35.8967,-80.8997,2,0.0625,,
SCPD,Pee Dee Area,34.2158,-79.7379,2,0.0741,,
OHLN,Lancaster,39.7137,-82.6019,2,0.0225,,
GACH,Chattahoochee National Forest Songbird M.A.,34.8775,-84.6474,2,0.1010,,
GACO,Columbus,32.5861,-85.0004,2,0.0588,,
TXLS,La Sal Vieja,26.4849,-97.9649,2,0.0377,,
FLBC,Bay County,30.1851,-85.6719,2,0.0306,,
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,2,0.0220,,
VAMB,Manassas-Bull Run,38.8387,-77.4315,2,0.0225,,
TNKN,Knoxville,35.9136,-84.0796,1,0.0105,,
GAAU,Augusta,33.4393,-82.0239,1,0.0286,,
MX06,"Teziutlan, Puebla, Mexico",19.8833,-97.3167,1,0.0255,,
NJCM,Cape May,39.0123,-74.8778,1,0.0056,,
TXOR,Old River,29.8667,-94.7333,1,0.0213,,
TXHO,Houston,29.7497,-94.9492,1,0.0028,,
TXBP,Bolivar Peninsula,29.5504,-94.4668,1,0.0161,,
TXST,San Antonio,29.3148,-98.6080,1,0.0081,,
GAGC,Glynn County,31.1128,-81.4261,1,0.0090,,
DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,1,0.0149,,
PALB,Southern Bucks County,40.1765,-74.8971,1,0.0114,,
NCCR,Charlotte,35.1765,-80.8759,1,0.0145,,
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,1,0.0043,,
MS0D,Grenada,33.8333,-89.7500,1,0.0250,,
TNCH,Chattanooga,35.1040,-85.2292,1,0.0138,,
NCWI,Wilmington,34.1401,-77.8936,1,0.0095,,
TXTE,Texarkana,33.2784,-94.2082,1,0.0230,,
ARFS,Fort Smith-Moffett,35.3818,-94.3766,1,0.0250,,
ARTE,Texarkana,33.4725,-93.9215,1,0.0286,,
NC0W,Raven Rock S.P.,35.4333,-78.8333,1,0.0303,,
VANI,Nickelsville,36.7500,-82.4167,1,0.0377,,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,1,0.0227,,
TX2D,Sabine Lake,30.0167,-93.8500,1,0.0227,,
KYDA,Danville,37.6463,-84.7733,1,0.0194,,
VATA,Tazewell,37.1326,-81.4934,1,0.0143,,
TX1E,Padre Island National Seashore,27.3333,-97.3333,cw,0.0000,,
NCRK,Roanoke Rapids,36.4025,-77.5651,cw,0.0000,,
KYLO,Louisville,38.2813,-85.6348,cw,0.0000,,
NJPR,Princeton,40.3410,-74.6649,cw,0.0000,,

