Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,1593,44.2500,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,1041,16.5896,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,767,11.6212,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,732,5.4222,,
TRTR,Trinidad,10.6336,-61.3390,644,21.4667,,
VA0S,Blacksburg,37.2333,-80.4167,546,4.7686,,
VZ01,"Rancho Grande, Aragua, Venezuela",10.3980,-67.6600,360,5.6250,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,349,9.4324,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,305,3.9610,,
TXFR,Freeport,29.0172,-95.3551,274,0.8012,,
TXCO,Comstock,29.7104,-101.2531,269,8.5397,,
TXLL,Lake Livingston (lower),30.7167,-95.0833,221,5.4433,,
TXPM,Palmetto S.P.,29.5833,-97.5833,219,2.0467,,
FLMR,Myakka River S.P.,27.2330,-82.2360,216,3.0000,,
PASL,Southern Lancaster County,39.8172,-76.1698,215,1.2874,,
FLFP,Fort Pierce,27.4177,-80.3828,197,2.7361,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,182,1.4502,,
TXFW,Fort Worth,32.7661,-97.4715,176,1.8314,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,169,4.5676,,
PAGE,Gettysburg,39.8304,-77.3177,152,1.3818,,
TNCO,Columbia,35.5990,-87.1613,151,6.0400,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,151,1.0942,,
TXLO,Lake O' the Pines,32.8001,-94.5947,147,4.1408,,
FLCO,Cocoa,28.3622,-80.7026,146,1.0069,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,144,0.9897,,
TXBO,Boerne,29.8666,-98.7901,143,1.5714,,
FLSM,St. Marks,30.1536,-84.2227,140,1.6867,,
VARC,Rockingham County,38.4318,-79.0394,137,2.4248,,
FLWP,West Palm Beach,26.5672,-80.1270,136,1.0462,,
TXBN,Burnet County,30.7514,-98.2750,132,2.0787,,
TN07,Duck River Reservoir,35.5500,-86.9000,130,3.0952,,
SCHH,Hilton Head Island,32.2000,-80.7500,112,0.2511,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,111,0.7986,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,107,1.1889,,
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,104,0.8966,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,103,2.3953,,
FLST,Stuart,27.2121,-80.2624,100,0.9901,,
FLGA,Gainesville,29.6027,-82.3127,99,0.6622,,
MDOC,Ocean City,38.3128,-75.2122,97,0.4533,,
FLKV,Kissimmee Valley,28.2062,-81.3936,96,1.2632,,
TXBU,Bell County,30.9667,-97.4500,95,2.4675,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,95,2.0879,,
FLLA,Lakeland,28.0261,-81.8507,95,0.8407,,
FLVE,Venice-Englewood,27.0048,-82.3793,94,1.3056,,
TXNA,Nacogdoches,31.5332,-94.6563,93,1.2078,,
KYLE,Lexington,37.9227,-84.4719,91,1.4109,,
IN1W,Hanover-Madison,38.7167,-85.4667,90,3.2143,,
OHAC,Adams County,38.7953,-83.5461,88,2.0952,,
BLBC,"Belize City, Belize",17.5990,-88.3822,86,1.6538,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,83,0.7281,,
TX20,Armand Bayou,29.5500,-95.0667,78,0.4727,,
