Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLLC,Lake City,30.1894,-82.6371,1400,24.7788,,
TXBZ,Brazos Bend,29.3734,-95.6688,1202,13.6591,,ph
SCSC,Sun City-Okatie,32.3512,-80.9232,1171,11.1630,"HC, ",
TRTR,Trinidad,10.6336,-61.3390,1152,31.5616,,
TXSG,San Angelo,31.4439,-100.4823,1019,19.9023,,
TXCY,Cypress Creek,29.9561,-95.8900,945,5.2646,"HC, ",
FLPI,Ponce Inlet,29.0623,-81.0073,925,16.6667,,
NCKL,Kerr Lake,36.5068,-78.3477,800,18.1818,,
TXSE,San Antonio East,29.3501,-98.3620,712,10.4706,,
FLEC,Econlockhatchee,28.7094,-81.1467,700,6.0267,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,697,6.2935,,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.5330,-96.8635,688,3.2950,,
TXAU,Austin,30.1834,-97.6980,682,4.2559,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,650,7.2886,,
MDRR,Rock Run,39.6041,-76.1670,632,6.8324,,
MOTC,Taney County,36.6070,-93.1830,623,6.7351,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,604,2.1418,,
TXLP,Lost Pines,30.2209,-97.4397,559,10.9073,,
TXFR,Freeport,29.0172,-95.3551,554,2.8051,,
TXGR,Granger,30.7062,-97.4019,550,5.8103,"HC, ",
FLKD,Kendall Area,25.6363,-80.3377,540,3.6024,,
FLLP,Lake Placid,27.2601,-81.3441,530,7.6590,,
TXBO,Boerne,29.8666,-98.7901,514,6.6753,"HC, ",
TXST,San Antonio,29.3148,-98.6080,511,5.7904,,
VACL,Central Loudon,39.0905,-77.6198,509,2.1725,,
TXCS,College Station,30.5930,-96.3175,506,6.2857,,
TXPM,Palmetto S.P.,29.5833,-97.5833,478,6.8530,,
OHPC,Paint Creek Area,39.2622,-83.4450,478,18.2095,"HC, ",
OHAC,Adams County,38.7953,-83.5461,478,5.9012,"HC, ",
TXSM,San Marcos,29.9091,-97.9642,476,5.3950,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,475,6.4233,,
TXVI,Victoria,28.8723,-97.0784,460,4.5432,,
FLGA,Gainesville,29.6027,-82.3127,450,1.4319,,
TNWH,White County,35.9082,-85.5980,429,8.6930,"HC, ",
OHMI,Millersburg,40.5416,-81.9270,422,1.7260,"HC, ",
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,415,4.6629,,
ALGU,Guntersville,34.3883,-86.2803,413,7.1207,,
TXNB,New Braunfels,29.7035,-98.1249,401,10.8378,,
FLJA,Jacksonville,30.4152,-81.4877,400,2.8725,,
KYEA,East Allen County,36.7426,-86.0686,391,7.1416,,
TXBP,Bolivar Peninsula,29.5504,-94.4668,385,7.0902,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,385,2.6190,,
TXTA,Trinity River Audubon Center,32.6407,-96.6577,370,3.8743,,
FLHO,Homestead,25.4945,-80.5325,370,4.2622,,
TXBN,Burnet County,30.7514,-98.2750,363,3.8413,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,352,3.2389,,
FLFK,Fakahatchee,26.1486,-81.4535,350,4.4757,,
FLSB,South Brevard County,27.8486,-80.5500,350,2.1739,,
TNLE,Lebanon,36.1944,-86.3892,349,10.8217,,
TXCC,Corpus Christi,27.8334,-97.5833,336,2.3455,,
OHOX,Oxford,39.5078,-84.7169,329,6.8542,"HC, ",
ILCY,Cypress Creek,37.3190,-89.0213,329,7.7412,"HC, ",
TXFW,Fort Worth,32.7661,-97.4715,317,1.7960,,
TXGC,Gibbons Creek,30.5833,-96.0000,315,6.3317,,
TXLK,Lake Tawakoni,32.7667,-95.9167,313,8.2804,,
VAFB,Fort Belvoir,38.7090,-77.1939,310,0.9543,,
CRCT,"Coto Brus, Puntarenas, Costa Rica",8.8458,-82.9438,309,4.3217,,
TNCL,Clarksville,36.5000,-87.3833,306,6.4084,,
TXNA,Nacogdoches,31.5332,-94.6563,304,2.8815,,
TXCK,Choke Canyon,28.4913,-98.3082,300,4.4118,,
FLTV,The Villages-Lake Panasofkee,28.8180,-82.0346,300,2.6443,,
FLKP,Kissimmee Prairie-DeLuca,27.6308,-80.9947,300,3.3803,,
TXFT,Fort Bend,29.5884,-95.7140,291,6.3343,,
TXTN,Trinity River,30.2860,-94.9800,289,4.4462,,
GADA,Dalton,34.7667,-84.9667,288,8.3721,"HC, ",
TXLO,Lake O' the Pines,32.8001,-94.5947,285,3.9175,,
INWH,Whitewater S.P.,39.5909,-84.9936,283,4.8793,,
FLBL,Bay Lake,28.3753,-81.5496,275,3.0220,,
MXCZ,"Coast of Central Veracruz, Mexico",19.3100,-96.2844,270,11.7391,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,264,3.6115,,
KYHO,Hopkinsville,36.8615,-87.4730,263,8.0923,"HC, ",
AZGR,Gila River,33.3071,-112.6833,262,2.4893,,
VACN,Calmes Neck,39.1242,-77.8913,262,1.9924,,
TXWP,Westcave Preserve,30.3553,-98.0296,260,2.3540,,
GMCO,"Cobán, Alta Verapaz, Guatemala",15.4080,-90.4364,252,7.2000,,
FLCR,Crystal River,28.8712,-82.5776,250,3.3784,,
OHEF,East Fork Lake S.P.,38.9871,-84.0253,248,6.9859,,
MDTR,Triadelphia Reservoir,39.1605,-76.9885,243,7.0660,,
GAAH,Athens,33.9305,-83.3812,242,2.7626,,
ARBV,Bella Vista,36.4205,-94.2779,241,4.8687,,
KYLE,Lexington,37.9227,-84.4719,240,3.3803,,
TXJC,Jackson-Calhoun Counties,28.7232,-96.4981,239,2.0152,,
KYBR,Barren River Lake,36.9330,-86.1705,239,8.3860,"HC, ",
MXBB,"Bahia Banderas, Puerto Vallarta, Jalisco, Mexico",20.5708,-105.2622,238,11.9000,,
WVLE,Lewisburg,37.8017,-80.4454,235,3.6863,,
TXWK,West Kerr County,30.0809,-99.4279,229,3.1085,,ph
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,227,6.9846,,
FLVE,Venice-Englewood,27.0048,-82.3793,225,1.6158,,
FLMT,Matanzas,29.7154,-81.2827,225,2.3810,,
TXWA,Waco,31.5194,-97.0451,223,3.5680,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,223,5.6171,,
OHMO,Mohican State Forest,40.5818,-82.3042,222,2.8101,"HC, ",
TXTY,Tyler,32.2777,-95.2991,219,2.6707,,
GARH,Richmond Hill,31.9472,-81.3064,218,2.3378,,
VAHO,Hopewell,37.3670,-77.2842,216,1.8783,,
