Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLPI,Ponce Inlet,29.0623,-81.0073,1800,18.2278,"HC, ",
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,1063,3.5671,"HC, ",
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.5330,-96.8635,946,3.9540,"HC, ",
FLMR,Myakka River S.P.,27.2330,-82.2360,840,12.0000,,
TXFR,Freeport,29.0172,-95.3551,750,2.8355,,
FLCO,Cocoa,28.3622,-80.7026,700,5.3640,,
FLLA,Lakeland,28.0261,-81.8507,690,5.1880,,
TNCL,Clarksville,36.5000,-87.3833,689,11.7277,"HC, ",
FLCR,Crystal River,28.8712,-82.5776,630,9.4737,"HC, ",
FLSB,South Brevard County,27.8486,-80.5500,626,4.3853,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,614,4.7689,,
VACL,Central Loudon,39.0905,-77.6198,606,3.3115,,
FLEM,Emeralda-Sunnyhill,28.9718,-81.8529,595,3.7898,"HC, ",
TXNB,New Braunfels,29.7035,-98.1249,585,12.1875,,
TXVI,Victoria,28.8723,-97.0784,570,9.5798,,
FLEC,Econlockhatchee,28.7094,-81.1467,546,3.5628,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,514,6.7632,,
FLBA,Bradenton,27.5010,-82.5631,511,5.9419,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,510,3.9535,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,504,5.5691,,
FLLP,Lake Placid,27.2601,-81.3441,500,6.0606,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,488,3.5491,,
VALY,Lynchburg,37.3986,-79.1942,480,4.2198,,
TXCY,Cypress Creek,29.9561,-95.8900,464,4.7835,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,450,3.7895,,
FLZE,Zellwood-Mount Dora,28.7309,-81.6062,435,3.8496,"HC, ",
TXAU,Austin,30.1834,-97.6980,422,2.6751,,
MOTC,Taney County,36.6070,-93.1830,422,6.2985,,
TXLK,Lake Tawakoni,32.7667,-95.9167,417,8.5102,,
TXFW,Fort Worth,32.7661,-97.4715,413,3.1407,,
MDRR,Rock Run,39.6041,-76.1670,411,2.8591,,
FLLC,Lake City,30.1894,-82.6371,400,0.0000,,
FLNP,North Pinellas,28.0672,-82.7388,385,2.0867,,
NCCP,Chapel Hill,35.9131,-79.0558,377,2.8134,"HC, ",
TXGC,Gibbons Creek,30.5833,-96.0000,376,4.4629,,
FLVE,Venice-Englewood,27.0048,-82.3793,375,0.8581,,
TXLO,Lake O' the Pines,32.8001,-94.5947,374,6.4483,"HC, ",
TXKI,Kingsville,27.4658,-97.8551,358,5.2073,"HC, ",
TXBO,Boerne,29.8666,-98.7901,357,3.6615,,
OHAC,Adams County,38.7953,-83.5461,355,5.0534,"HC, ",
TXAR,Aransas N.W.R.,28.2333,-96.8833,354,3.4203,,
TXBZ,Brazos Bend,29.3734,-95.6688,352,2.6768,,
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,340,3.3333,,
TXNA,Nacogdoches,31.5332,-94.6563,337,2.7454,,
FLWR,Wekiva River,28.7863,-81.3679,335,2.5919,,
FLWM,West Marion County,29.0937,-82.3538,335,3.2367,,
FLAL,Alafia Banks,27.7920,-82.3349,330,4.9624,,
TXCK,Choke Canyon,28.4913,-98.3082,324,5.0233,,
TXSG,San Angelo,31.4439,-100.4823,324,4.5957,"HC, ",
TXWP,Westcave Preserve,30.3553,-98.0296,324,3.9273,,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,320,5.6140,"HC, ",
TNWH,White County,35.9082,-85.5980,317,5.2614,,
TXPM,Palmetto S.P.,29.5833,-97.5833,316,4.7164,,
TNHP,Hickory-Priest,36.1926,-86.6634,313,5.7963,,
