Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TXFR,Freeport,29.0172,-95.3551,1116,3.7863,,
FLLA,Lakeland,28.0261,-81.8507,965,8.1092,,
FLSB,South Brevard County,27.8486,-80.5500,800,5.5652,,
FLEC,Econlockhatchee,28.7094,-81.1467,675,6.7500,,
FLVE,Venice-Englewood,27.0048,-82.3793,665,4.1824,,
FLWR,Wekiva River,28.7863,-81.3679,615,4.1908,"HC, ",
TXPM,Palmetto S.P.,29.5833,-97.5833,589,8.5362,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,585,6.0938,"HC, ",
TXAU,Austin,30.1834,-97.6980,546,2.4321,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,540,3.6735,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,535,3.5197,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,534,7.0263,,
TXBN,Burnet County,30.7514,-98.2750,516,7.5882,,
FLLP,Lake Placid,27.2601,-81.3441,500,5.8824,,
TNCO,Columbia,35.5990,-87.1613,475,11.3095,,
TXFW,Fort Worth,32.7661,-97.4715,464,3.2278,,
TXGC,Gibbons Creek,30.5833,-96.0000,458,6.4056,,
TXKV,Kerrville,30.0646,-99.1757,434,10.7160,,
TXCY,Cypress Creek,29.9561,-95.8900,426,3.5949,"HC, ",
AZNO,Nogales,31.4338,-110.9358,424,5.7297,,
CRLM,"Fila Costera (la Merced), Costa Rica",9.1404,-83.4639,417,1.8289,,
TNWH,White County,35.9082,-85.5980,414,8.7619,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,410,3.5269,,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.5330,-96.8635,408,2.5620,,
TXLG,Longview,32.3765,-94.7162,386,4.1283,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,381,6.8649,,
TXNB,New Braunfels,29.7035,-98.1249,381,5.7947,,
FLEP,East Pasco,28.3103,-82.2374,370,8.8095,"HC, ",
FLCO,Cocoa,28.3622,-80.7026,355,2.6248,,
FLMR,Myakka River S.P.,27.2330,-82.2360,355,4.9306,,
TNNA,Nashville,36.0545,-86.9287,347,4.9749,"HC, ",
FLSM,St. Marks,30.1536,-84.2227,315,3.9009,"HC, ",
TNCV,Cookeville,36.1448,-85.4747,310,6.0784,"HC, ",
FLPI,Ponce Inlet,29.0623,-81.0073,310,2.6050,"HC, ",
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,308,0.8105,,
VATP,The Plains,38.7833,-77.7555,302,2.1119,,
FLSR,Sarasota,27.2988,-82.4976,295,2.3047,,
VABL,Blacksburg,37.2153,-80.4690,292,2.1550,,
TXAY,Armand Bayou,29.5498,-95.0489,288,3.3295,"HC, ",
FLFP,Fort Pierce,27.4177,-80.3828,275,2.6190,,
VAGO,Gordonsville,38.1427,-78.1893,272,6.6748,"HC, ",
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,270,6.8354,,
TNCL,Clarksville,36.5000,-87.3833,269,5.4070,,
ALGU,Guntersville,34.3883,-86.2803,269,3.0920,"HC, ",
TXWP,Westcave Preserve,30.3553,-98.0296,266,3.4212,,
FLNA,Naples,26.1278,-81.7645,265,2.7320,,
