Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TRTR,Trinidad,10.6336,-61.3390,1712,32.1502,,
TXBZ,Brazos Bend,29.3734,-95.6688,1647,23.1320,,
FLLC,Lake City,30.1894,-82.6371,1550,37.8049,,
FLFP,Fort Pierce,27.4177,-80.3828,1500,16.6667,,
BLSL,"Spanish Lookout, Cayo, Belize",17.2994,-89.0206,1384,30.4243,,
NCKL,Kerr Lake,36.5068,-78.3477,1162,28.9776,,
KYEA,East Allen County,36.7426,-86.0686,1010,21.2632,,
FLMR,Myakka River S.P.,27.2330,-82.2360,1000,12.8123,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,917,3.2426,,
FLBL,Bay Lake,28.3753,-81.5496,800,9.1954,,
FLLA,Lakeland,28.0261,-81.8507,750,7.4888,,
FLCO,Cocoa,28.3622,-80.7026,730,8.1111,,
FLEC,Econlockhatchee,28.7094,-81.1467,700,7.7838,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,692,6.5748,,
MDSE,Seneca,39.0671,-77.3285,665,2.8695,"HC, ",
FLNA,Naples,26.1278,-81.7645,650,6.0185,,
VABL,Blacksburg,37.2153,-80.4690,617,4.6863,,
FLFK,Fakahatchee,26.1486,-81.4535,615,7.4275,,
FLGA,Gainesville,29.6027,-82.3127,600,1.9992,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,600,5.8680,,
FLBA,Bradenton,27.5010,-82.5631,600,3.5874,,
MDJB,Jug Bay,38.7532,-76.6415,593,3.3924,,
VACL,Central Loudon,39.0905,-77.6198,582,2.2717,,
TXBU,Bell County,30.9667,-97.4500,581,10.6119,,
TXSM,San Marcos,29.9091,-97.9642,578,8.0000,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,570,4.0860,,
TXFR,Freeport,29.0172,-95.3551,560,2.5254,,
FLCR,Crystal River,28.8712,-82.5776,550,5.8667,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,550,6.3584,,
GARH,Richmond Hill,31.9472,-81.3064,547,9.5965,"HC, ",
TXST,San Antonio,29.3148,-98.6080,529,2.6990,,
PASL,Southern Lancaster County,39.8172,-76.1698,527,5.7912,"HC, ",
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,525,6.1765,,
TXAU,Austin,30.1834,-97.6980,516,3.9067,,
FLAL,Alafia Banks,27.7920,-82.3349,500,3.5088,,
TXSG,San Angelo,31.4439,-100.4823,450,6.3830,,
TXFW,Fort Worth,32.7661,-97.4715,438,4.3153,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,436,9.6889,,
TXHA,Hagerman N.W.R.,33.7807,-96.7444,428,7.1632,"HC, ",
OHEF,East Fork Lake S.P.,38.9871,-84.0253,428,9.1064,,
TXGR,Granger,30.7062,-97.4019,427,5.0833,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,423,4.9387,,
TXWP,Westcave Preserve,30.3553,-98.0296,423,4.0478,,
TXPS,Palestine,31.7624,-95.7664,420,19.3995,,
MOTC,Taney County,36.6070,-93.1830,417,5.8732,,
FLHO,Homestead,25.4945,-80.5325,410,4.5030,,
FLSA,St. Augustine,29.9333,-81.3162,400,3.0315,,
MDCV,Chesterville,39.2762,-75.9153,400,3.5635,"HC, ",
TXNB,New Braunfels,29.7035,-98.1249,393,8.1535,,
TXBN,Burnet County,30.7514,-98.2750,385,3.8791,,
NCSL,Southern Lake Norman,35.4326,-80.8702,382,4.7160,,
VAFB,Fort Belvoir,38.7090,-77.1939,381,1.1067,,
OHPC,Paint Creek Area,39.2622,-83.4450,364,14.2745,,
