Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
TXPM,Palmetto S.P.,29.5833,-97.5833,1173,13.3295,,
TXFR,Freeport,29.0172,-95.3551,760,2.3349,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,652,4.1397,,
BRMD,"Manaus (Ducke), Amazonas, Brazil",-2.9129,-59.9803,604,80.5333,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,539,4.2275,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,514,4.3652,,
FLLP,Lake Placid,27.2601,-81.3441,500,3.3333,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,495,13.9437,,
FLMR,Myakka River S.P.,27.2330,-82.2360,494,6.8611,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,489,11.4386,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,482,2.9212,,
MXRL,"Rancho los Colorados, Tamaulipas, Mexico",22.9667,-97.8667,446,9.6957,,
TNNL,Nickajack Lake,35.0664,-85.5113,420,5.4545,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,405,4.5506,,
FLCO,Cocoa,28.3622,-80.7026,353,2.5487,,
FLVE,Venice-Englewood,27.0048,-82.3793,350,3.0043,,
FLBA,Bradenton,27.5010,-82.5631,345,4.1194,,
FLPR,Peace River,26.9243,-82.0474,343,5.2366,,
VACA,Charlottesville,38.0668,-78.5667,327,2.4133,,
TXLG,Longview,32.3765,-94.7162,310,2.2302,,
TXVI,Victoria,28.8723,-97.0784,293,2.7067,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,281,1.5655,,
ARMH,Mountain Home,36.3862,-92.4672,281,6.6905,,
TXCK,Choke Canyon,28.4913,-98.3082,273,3.9000,,
TXLK,Lake Tawakoni,32.7667,-95.9167,271,6.3023,,
TRTR,Trinidad,10.6336,-61.3390,265,5.4082,,
TXBO,Boerne,29.8666,-98.7901,262,3.3376,,
FLLA,Lakeland,28.0261,-81.8507,255,1.9466,,
MDRR,Rock Run,39.6041,-76.1670,253,1.6270,,
TXAU,Austin,30.1834,-97.6980,248,1.7527,,
NCSL,Southern Lake Norman,35.4326,-80.8702,246,3.2262,,
MOTC,Taney County,36.6070,-93.1830,244,6.2968,,
PAGE,Gettysburg,39.8304,-77.3177,235,2.4227,,
FLCR,Crystal River,28.8712,-82.5776,232,3.1890,,
FLST,Stuart,27.2121,-80.2624,231,1.2710,,
FLNA,Naples,26.1278,-81.7645,225,1.8367,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,217,6.7287,,
HOLA,"Lancetilla, Honduras",15.7667,-87.4500,217,4.9318,,
FL0V,South Brevard County,27.8667,-80.5667,215,2.3370,,
TXCC,Corpus Christi,27.8334,-97.5833,210,2.2581,,
TXNA,Nacogdoches,31.5332,-94.6563,210,1.5498,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,208,4.1188,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,186,5.8583,,
TXST,San Antonio,29.3148,-98.6080,185,1.3479,,
VA0S,Blacksburg,37.2333,-80.4167,185,1.8454,,
FLSR,Sarasota,27.2988,-82.4976,182,1.5230,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,181,1.1603,,
FLEC,Econlockhatchee,28.7094,-81.1467,172,1.6740,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,164,2.4478,,
TXBN,Burnet County,30.7514,-98.2750,164,2.5827,,
ESSS,"San Salvador, El Salvador",13.6986,-89.2067,163,2.5077,,
TXDR,Del Rio,29.4651,-100.9585,162,3.3750,,
MDCR,Crisfield,38.0298,-75.7577,161,1.9634,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,159,1.1910,,
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,159,1.1119,,
LABR,Baton Rouge,30.3661,-91.1194,156,0.9645,,
TXCO,Comstock,29.7104,-101.2531,155,4.4928,,
FLLW,Lake Wales,27.8939,-81.5189,152,1.1737,,
TXFW,Fort Worth,32.7661,-97.4715,151,1.0185,,
FLGA,Gainesville,29.6027,-82.3127,146,0.8066,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,144,3.0157,,
MDOC,Ocean City,38.3128,-75.2122,142,0.6714,,
TXCS,College Station,30.5930,-96.3175,138,1.4879,,
VADS,Dismal Swamp,36.6645,-76.4814,137,1.2232,,
FLWR,Wekiva River,28.7863,-81.3679,137,1.1913,,
VAGO,Gordonsville,38.1427,-78.1893,133,2.4516,,
TXGC,Gibbons Creek,30.5833,-96.0000,130,2.0077,,
MDTR,Triadelphia Reservoir,39.1605,-76.9885,128,0.4399,,
