Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,892,9.3895,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,679,2.9781,,
FLMR,Myakka River S.P.,27.2330,-82.2360,639,7.8889,,
TRTR,Trinidad,10.6336,-61.3390,612,25.5000,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,522,4.0465,,
FL0V,South Brevard County,27.8667,-80.5667,436,3.7265,,
VZ01,"Rancho Grande, Aragua, Venezuela",10.3980,-67.6600,370,6.4912,,
VA0S,Blacksburg,37.2333,-80.4167,347,2.9658,,
FLKV,Kissimmee Valley,28.2062,-81.3936,319,4.1699,,
FLBO,Brooksville,28.5480,-82.3245,267,3.2561,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,246,5.2340,,
ESSS,"San Salvador, El Salvador",13.6986,-89.2067,242,3.7231,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,213,2.0882,,
GACG,Callaway Gardens,32.8240,-84.8437,212,3.3758,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,192,3.3803,,
FLDC,Dade County,25.8402,-80.1883,190,1.3475,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,180,3.2143,,
TXFR,Freeport,29.0172,-95.3551,170,0.4476,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,168,1.1586,,
MXCV,"Catemaco, Veracruz, Mexico",18.4833,-95.0333,167,1.9881,,
VACN,Calmes Neck,39.1242,-77.8913,163,3.0185,,
TXNA,Nacogdoches,31.5332,-94.6563,157,1.2362,,
VAWI,Williamsburg,37.2792,-76.6987,136,1.5759,,
FLLA,Lakeland,28.0261,-81.8507,131,1.5976,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,130,1.6049,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,128,1.7534,,
FLSM,St. Marks,30.1536,-84.2227,125,1.5625,,
TNNA,Nashville,36.0545,-86.9287,122,1.2642,,
FLCO,Cocoa,28.3622,-80.7026,121,0.7160,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,119,2.3564,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,108,2.9589,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,106,1.3590,,
FLSR,Sarasota,27.2988,-82.4976,106,1.2114,,
FLWP,West Palm Beach,26.5672,-80.1270,99,0.7557,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,98,1.0769,,
FLVE,Venice-Englewood,27.0048,-82.3793,97,1.6167,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,94,2.0435,,
BLBC,"Belize City, Belize",17.5990,-88.3822,93,2.3250,,
FLLW,Lake Wales,27.8939,-81.5189,92,0.8598,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,88,3.0345,,
SCSR,Savannah River Site,33.2000,-81.6167,87,1.5000,,
FLFL,Fort Lauderdale,26.1360,-80.2191,87,0.8056,,
TNCO,Columbia,35.5990,-87.1613,86,2.8197,,
TNBI,Bristol,36.6058,-82.0999,85,2.1519,,
