Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,1144,6.5747,,
TXPM,Palmetto S.P.,29.5833,-97.5833,782,8.9885,,
FLLP,Lake Placid,27.2601,-81.3441,670,4.9630,,
FLMR,Myakka River S.P.,27.2330,-82.2360,654,8.9589,,
BRMD,"Manaus (Ducke), Amazonas, Brazil",-2.9129,-59.9803,623,80.3871,,
MXRL,"Rancho los Colorados, Tamaulipas, Mexico",22.9667,-97.8667,516,9.8756,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,458,3.7541,,
FLPR,Peace River,26.9243,-82.0474,444,4.6250,,
TXCB,Calaveras-Braunig Lakes,29.2833,-98.3167,409,10.5548,,
FLVE,Venice-Englewood,27.0048,-82.3793,403,3.3724,,
FLCR,Crystal River,28.8712,-82.5776,401,5.7286,,
TXFW,Fort Worth,32.7661,-97.4715,397,2.9245,,
TXFR,Freeport,29.0172,-95.3551,393,1.0424,,
VA0S,Blacksburg,37.2333,-80.4167,383,3.8396,,
TXGC,Gibbons Creek,30.5833,-96.0000,375,5.1020,,
ESSS,"San Salvador, El Salvador",13.6986,-89.2067,339,3.9882,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,336,5.4194,"HC, ",
FLST,Stuart,27.2121,-80.2624,320,18.8235,,
TXLO,Lake O' the Pines,32.8001,-94.5947,320,3.5655,,
GAPR,Piedmont N.W.R.-Rum Creek W.M.A.,33.0936,-83.7470,309,7.1034,,
FL0V,South Brevard County,27.8667,-80.5667,309,3.5930,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,307,1.9935,,
TXBZ,Brazos Bend,29.3734,-95.6688,300,2.2388,,
FLLW,Lake Wales,27.8939,-81.5189,300,2.0134,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,298,2.9652,,
TXVI,Victoria,28.8723,-97.0784,290,3.7662,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,282,3.8237,,
TXLG,Longview,32.3765,-94.7162,279,1.6632,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,275,2.1154,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,271,8.2121,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,268,7.6571,,
TNDD,Dresden,36.2833,-88.7000,260,10.0000,,
SCAB,Ace Basin,32.6126,-80.4813,256,4.2667,,
TXBO,Boerne,29.8666,-98.7901,243,2.8757,,
TRTR,Trinidad,10.6336,-61.3390,232,5.6585,,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,224,2.6988,,
TXAY,Armand Bayou,29.5498,-95.0489,214,1.7686,,
NCSL,Southern Lake Norman,35.4326,-80.8702,210,3.6842,,
FLLA,Lakeland,28.0261,-81.8507,206,1.5489,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,191,11.7538,,
FLWR,Wekiva River,28.7863,-81.3679,191,1.7364,,
WVLE,Lewisburg,37.8017,-80.4454,182,3.7143,,
PASL,Southern Lancaster County,39.8172,-76.1698,176,0.8000,,
SCLC,Long Cane,34.0000,-82.3333,176,5.5873,,
MOTC,Taney County,36.6070,-93.1830,172,3.4747,,
TXAU,Austin,30.1834,-97.6980,171,1.0823,,
TXNA,Nacogdoches,31.5332,-94.6563,165,1.1149,,
VASL,Shenandoah N.P.-Luray,38.5948,-78.4572,154,1.0098,,
FLBO,Brooksville,28.5480,-82.3245,150,1.8868,,
BLBC,"Belize City, Belize",17.5990,-88.3822,150,3.3898,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,150,3.8462,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,149,1.8171,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,147,1.8608,,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,142,1.0290,,
GAAH,Athens,33.9305,-83.3812,136,1.3204,,
CRLS,"La Selva, Lower Braulio Carillo N.P., Costa Rica",10.3665,-84.0499,133,0.6963,,
MSHA,Hattiesburg,31.2903,-89.3133,125,2.1930,,
MDTR,Triadelphia Reservoir,39.1605,-76.9885,123,0.4672,,
FLBA,Bradenton,27.5010,-82.5631,122,1.4438,,
SCCA,Charleston,32.9333,-79.7000,120,1.2000,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,118,0.8295,,
FLCO,Cocoa,28.3622,-80.7026,117,0.7597,,
TXKI,Kingsville,27.4658,-97.8551,115,1.3855,,
TXHU,Huntsville,30.7156,-95.5520,111,2.1553,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,110,2.2449,,
TNCH,Chattanooga,35.1040,-85.2292,109,0.9689,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,109,1.0046,,
FLKV,Kissimmee Valley,28.2062,-81.3936,108,1.5319,,
TXST,San Antonio,29.3148,-98.6080,107,0.9145,,
CLSM,"Santa Marta, Magdalena, Colombia",11.0333,-74.1500,107,3.5082,,
PAUB,Upper Bucks County,40.4036,-75.3650,104,0.6500,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,104,0.5279,,
TXBN,Burnet County,30.7514,-98.2750,102,1.5455,,
VACA,Charlottesville,38.0668,-78.5667,102,1.0851,,
ILCY,Cypress Creek,37.3190,-89.0213,100,1.3889,,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,99,1.3562,,
LATR,Tensas River N.W.R.,32.2833,-91.3667,99,1.9130,,
MXPA,"Palenque, Chiapas, Mexico",17.4333,-92.0000,99,1.9038,,
FLNP,North Pinellas,28.0672,-82.7388,98,0.2917,,
GACG,Callaway Gardens,32.8240,-84.8437,98,1.2980,,
TXBF,Buffalo Bayou,29.7715,-95.5699,98,0.6323,,
TXLL,Lake Livingston (lower),30.7167,-95.0833,96,2.2994,,
NJPR,Princeton,40.3410,-74.6649,95,0.4798,,
FLNA,Naples,26.1278,-81.7645,94,0.7673,,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,93,2.1017,,
HOLA,"Lancetilla, Honduras",15.7667,-87.4500,92,2.3000,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,92,1.1987,,
TXLK,Lake Tawakoni,32.7667,-95.9167,92,1.6283,,
TXTY,Tyler,32.2777,-95.2991,92,2.2716,,
FLSR,Sarasota,27.2988,-82.4976,91,0.7696,,
MSSH,Southern Hancock County,30.2906,-89.5034,88,1.1733,,
TXCO,Comstock,29.7104,-101.2531,88,2.7500,,
MDLK,Lower Kent County,39.1427,-76.1921,85,1.0334,,
SCHH,Hilton Head Island,32.2000,-80.7500,85,0.1836,,
FLWP,West Palm Beach,26.5672,-80.1270,85,0.9290,,
MDPT,Port Tobacco,38.4833,-77.0333,84,1.0566,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,83,1.2296,,
TNCL,Clarksville,36.5000,-87.3833,83,2.5152,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,82,2.6667,,
TXCS,College Station,30.5930,-96.3175,81,0.6821,,
LASA,Sabine N.W.R.,29.8545,-93.3892,80,0.5145,,
MXAL,"Alamos, Sonora, Mexico",27.0000,-108.9000,80,3.0769,,
MDRR,Rock Run,39.6041,-76.1670,80,0.6897,,
TXLS,La Sal Vieja,26.4849,-97.9649,79,1.0822,,
TXWA,Waco,31.5194,-97.0451,77,1.5556,,
FLEB,Estero Bay,26.3701,-81.8492,76,1.1875,,
MDSE,Seneca,39.0671,-77.3285,76,0.2252,,
TXUC,Uvalde County,29.2096,-99.7862,76,2.3030,,
GAGC,Glynn County,31.1128,-81.4261,76,0.8172,,
SCMC,McClellanville,33.1003,-79.4037,75,1.0870,,
VALE,Lexington,37.8480,-79.4769,75,2.2388,,
NJSA,Salem,39.6140,-75.4142,74,0.9487,,
SCYR,York-Rock Hill,34.9565,-81.1060,72,3.5122,,
VA2A,Nokesville,38.6167,-77.5500,71,0.5929,,
VABR,Banister River W.M.A.,36.7327,-78.8101,70,1.6471,,
FLSM,St. Marks,30.1536,-84.2227,64,0.6514,,
LABO,Bogue Chitto N.W.R.,30.4833,-89.8000,63,1.0957,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,62,0.9841,,
FLGA,Gainesville,29.6027,-82.3127,62,0.3267,,
VAFI,Fincastle,37.5276,-79.8733,61,0.9531,,
GASC,St. Catherines Island,31.6351,-81.1226,61,1.2708,,
FLMA,Marianna,30.7167,-85.2667,61,0.4326,,
MDST,St. Michaels,38.7506,-76.2531,60,0.5985,,
ARAR,Arkadelphia,34.1333,-93.0500,60,0.6316,,
GAAL,Atlanta,33.9667,-84.6667,60,0.5455,,
ARML,Magnolia-Lake Columbia,33.2684,-93.2832,57,0.6628,,
TXDR,Del Rio,29.4651,-100.9585,57,1.9000,,
FLJA,Jacksonville,30.4152,-81.4877,56,0.4242,,
MDJB,Jug Bay,38.7532,-76.6415,56,0.4267,,
TNNA,Nashville,36.0545,-86.9287,53,1.0192,,
MDAG,Annapolis-Gibson Island,39.0033,-76.5065,53,0.2154,,
GADU,Dublin,32.6297,-82.9239,52,1.3684,,
MDSM,Sugarloaf Mountain,39.2841,-77.3920,52,0.2372,,
TXBU,Bell County,30.9667,-97.4500,52,1.4752,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,51,1.0515,,
FLPI,Ponce Inlet,29.0623,-81.0073,51,1.0515,,
MDEL,Elkton,39.5333,-75.9424,50,0.3540,,
TXCR,Crawford,31.5560,-97.3556,50,0.8584,,
MSVI,Vicksburg,32.3108,-90.9068,49,0.6829,,
TXBE,Beech Creek,30.7667,-94.2000,49,0.8485,,
FLFM,Fort Myers,26.5551,-81.9906,48,0.5963,,
ARFS,Fort Smith-Moffett,35.3818,-94.3766,48,1.1852,,
MDWC,Washington County,39.5656,-77.7308,47,0.4784,,
TXSC,Spring Creek,30.1268,-95.4432,47,1.0330,,
FLHC,Hamilton County,30.3360,-82.7595,46,2.0909,,
TXRO,Rockport,28.0669,-97.1167,46,0.5750,,
VACN,Calmes Neck,39.1242,-77.8913,45,0.2699,,
FLFL,Fort Lauderdale,26.1360,-80.2191,45,0.5172,,
NJBP,Belleplain,39.2500,-74.9333,45,0.5732,,
NJBO,Boonton,40.8500,-74.3833,45,0.3358,,
TXTE,Texarkana,33.2784,-94.2082,45,1.0169,,
MXGF,"Gomez Farias, Tamaulipas, Mexico",23.1118,-99.1816,45,0.7143,,
TXTR,Trinidad,32.1500,-96.1000,44,5.5000,,
TNHP,Hickory-Priest,36.1926,-86.6634,43,0.8600,,
MSNA,Natchez,31.6167,-91.3792,43,0.7288,,
TXPS,Palestine,31.7624,-95.7664,42,1.1351,,
TNNL,Nickajack Lake,35.0664,-85.5113,42,0.5563,,
AZNO,Nogales,31.4338,-110.9358,41,0.4940,,
FLAB,Aripeka-Bayport,28.4667,-82.5833,41,1.2059,,
MDBO,Bowie,38.9927,-76.7852,41,0.1843,,
VAAC,Augusta County,38.2046,-78.9913,40,0.4520,,
VAWB,Washington's Birthplace,38.1143,-76.9478,40,0.8040,,
LABC,Bossier-Caddo-Bienville,32.2932,-93.5026,38,0.4951,,
PAGE,Gettysburg,39.8304,-77.3177,38,0.7170,,
VACC,Cape Charles,37.1899,-75.9410,38,0.2794,,
NCSM,Stone Mountain,36.3447,-81.0247,36,0.9351,,
TXCC,Corpus Christi,27.8334,-97.5833,36,0.3288,,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,35,0.8537,,
MDSA,Salisbury,38.3333,-75.7333,35,0.4575,,
LASH,Shreveport,32.5371,-93.8922,35,0.5691,,
OHLN,Lancaster,39.7137,-82.6019,35,0.6763,,
NCSB,Southport-Bald Head-Oak Islands,33.9388,-78.0265,35,0.3349,,
TXOR,Old River,29.8667,-94.7333,34,0.4840,,
