Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLLA,Lakeland,28.0261,-81.8507,1306,9.8566,,
BRME,"Manaus (east), Amazonas, Brazil",-3.1333,-59.9333,1110,0.0000,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,1100,5.7819,,
TXPM,Palmetto S.P.,29.5833,-97.5833,688,9.2349,,
FLST,Stuart,27.2121,-80.2624,602,2.6696,,
FLLP,Lake Placid,27.2601,-81.3441,600,4.1096,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,584,4.1127,,
TXVI,Victoria,28.8723,-97.0784,546,5.1754,,
FLVE,Venice-Englewood,27.0048,-82.3793,544,4.8356,,
TXCK,Choke Canyon,28.4913,-98.3082,531,4.9395,,
TXFR,Freeport,29.0172,-95.3551,531,1.6777,,
FLMR,Myakka River S.P.,27.2330,-82.2360,530,7.2852,,
VABL,Blacksburg,37.2153,-80.4690,526,5.1443,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,500,2.8409,,
FLBA,Bradenton,27.5010,-82.5631,468,5.2145,,
FLAP,Avon Park A.F. Range,27.6501,-81.2896,460,5.7500,,
FLSB,South Brevard County,27.8486,-80.5500,438,3.1064,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,408,6.2769,,
FLKV,Kissimmee Valley,28.2062,-81.3936,407,4.4000,,
TXBO,Boerne,29.8666,-98.7901,375,3.1915,,
TXST,San Antonio,29.3148,-98.6080,349,2.1915,,
FLCR,Crystal River,28.8712,-82.5776,329,3.6760,,
MSJA,Jackson,32.4476,-90.0040,329,3.9879,,
TXMM,Matagorda County-Mad Island Marsh,28.6926,-95.9975,326,1.0903,,
TXCO,Comstock,29.7104,-101.2531,324,7.5789,,
FLCO,Cocoa,28.3622,-80.7026,320,2.4242,,
TXBF,Buffalo Bayou,29.7715,-95.5699,305,2.3922,,
BRMD,"Manaus (Ducke), Amazonas, Brazil",-2.9129,-59.9803,300,31.5789,,
FLSR,Sarasota,27.2988,-82.4976,281,2.5202,,
FLNA,Naples,26.1278,-81.7645,277,2.1598,,
FLLW,Lake Wales,27.8939,-81.5189,274,1.4932,,
TXLO,Lake O' the Pines,32.8001,-94.5947,255,2.2566,,
MXBS,"Baviacora, Sonora, Mexico",29.6167,-110.1667,251,5.2292,,
TXCC,Corpus Christi,27.8334,-97.5833,245,2.1778,,
CRGR,"Grecia, Costa Rica",10.0667,-84.3167,244,3.7538,,
FLWR,Wekiva River,28.7863,-81.3679,243,2.7931,,
GACI,Cumberland Island,30.8151,-81.4673,240,5.1613,,
FLPR,Peace River,26.9243,-82.0474,238,0.0000,,
TXAY,Armand Bayou,29.5498,-95.0489,237,2.2679,,
LABR,Baton Rouge,30.3661,-91.1194,229,1.0802,,
FLJD,Jonathan Dickinson S.P.,26.9921,-80.1469,228,2.2353,,
TXTN,Trinity River,30.2860,-94.9800,228,4.9032,,
VACA,Charlottesville,38.0668,-78.5667,227,1.8088,,
TXTT,Tenaha-Timpson,31.9610,-94.4210,208,4.0784,,
TXLG,Longview,32.3765,-94.7162,207,1.3963,,
MOTC,Taney County,36.6070,-93.1830,204,4.7442,,
SCHH,Hilton Head Island,32.2000,-80.7500,194,0.5757,,
TNCH,Chattanooga,35.1040,-85.2292,189,1.6293,,
TXLK,Lake Tawakoni,32.7667,-95.9167,189,3.0000,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,186,2.0840,,
