Species_Name
Black Vulture

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
FLMR,Myakka River S.P.,27.2330,-82.2360,757,9.1205,,
RPPC,"Pacific Canal Area, Panama",9.0003,-79.5832,721,6.6147,,
VANS,Northern Shenandoah Valley,39.0501,-78.1667,596,3.3864,,
FLNP,North Pinellas,28.0672,-82.7388,400,3.6364,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,358,2.7752,,
TRTR,Trinidad,10.6336,-61.3390,344,9.5556,,
TXFR,Freeport,29.0172,-95.3551,337,1.0181,,
FLLA,Lakeland,28.0261,-81.8507,303,4.1507,,
TXNA,Nacogdoches,31.5332,-94.6563,273,2.5278,,
VA0S,Blacksburg,37.2333,-80.4167,263,2.4352,,
LATH,Tunica Hills-St. Francisville,30.7500,-91.3833,254,3.8024,,
FLSM,St. Marks,30.1536,-84.2227,241,1.6972,,
FLWP,West Palm Beach,26.5672,-80.1270,237,1.8372,,
RPAC,"Atlantic Canal Area, Panama",9.3003,-79.9501,234,0.9286,,
MX07,"Bahia Kino, Sonora, Mexico",28.8333,-111.9000,228,20.2667,,
FLCO,Cocoa,28.3622,-80.7026,226,1.4581,,
VARC,Rockingham County,38.4318,-79.0394,224,4.2264,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,223,4.2476,,
VZ01,"Rancho Grande, Aragua, Venezuela",10.3980,-67.6600,200,3.0303,,
TX2M,Lake Conroe,30.4500,-95.6333,192,2.7826,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,192,1.7615,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,184,3.8333,,
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,183,2.0562,,
FLDC,Dade County,25.8402,-80.1883,173,0.5945,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,172,1.6699,,
RPCC,"Central Canal Area, Panama",9.1333,-79.7833,167,1.5182,,
TXHU,Huntsville,30.7156,-95.5520,163,4.9394,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,156,1.9623,,
VARO,Roanoke,37.3034,-79.9446,136,0.9645,,
GACG,Callaway Gardens,32.8240,-84.8437,133,2.4721,,
FLST,Stuart,27.2121,-80.2624,125,1.4045,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,120,1.5000,,
FLGA,Gainesville,29.6027,-82.3127,115,1.1111,,
BLBE,"Belmopan, Belize",17.1846,-88.7268,113,2.6588,,
FL13,New Port Richey,28.2500,-82.7000,113,2.0926,,
PASL,Southern Lancaster County,39.8172,-76.1698,102,0.6869,,
FLSR,Sarasota,27.2988,-82.4976,99,1.1579,,
FLLW,Lake Wales,27.8939,-81.5189,94,0.8103,,
VAWI,Williamsburg,37.2792,-76.6987,93,0.7154,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,92,1.7037,,
TNKI,Kingsport,36.5000,-82.5167,90,1.5000,,
VAWR,Warren,37.8500,-78.5500,89,0.9175,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,88,0.6743,,
FLVE,Venice-Englewood,27.0048,-82.3793,88,1.3333,,
MSJA,Jackson,32.4476,-90.0040,87,1.1013,,
TXST,San Antonio,29.3148,-98.6080,86,0.8075,,
FL0V,South Brevard County,27.8667,-80.5667,85,0.8947,,
TXTY,Tyler,32.2777,-95.2991,81,1.3966,,
MD0T,Liberty Reservoir,39.4500,-76.9000,81,0.5127,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,81,4.0500,,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,81,1.0946,,
PALA,Lancaster,39.9921,-76.3614,80,1.3333,,
TXBO,Boerne,29.8666,-98.7901,80,0.6107,,
TXBB,Bastrop-Buescher State Parks,30.0866,-97.2484,78,1.6596,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,77,1.0476,,
SCHH,Hilton Head Island,32.2000,-80.7500,77,0.6063,,
TNBI,Bristol,36.6058,-82.0999,72,1.4118,,
MDCR,Crisfield,38.0298,-75.7577,71,0.4566,,
MDWC,Washington County,39.5656,-77.7308,70,0.5932,,
FLFL,Fort Lauderdale,26.1360,-80.2191,70,0.5932,,
VACN,Calmes Neck,39.1242,-77.8913,69,1.1500,,
TXRU,Ruidosa,29.9500,-104.6667,69,3.1364,,
MDLK,Lower Kent County,39.1427,-76.1921,68,0.5597,,
TXBN,Burnet County,30.7514,-98.2750,68,1.4468,,
FLFM,Fort Myers,26.5551,-81.9906,66,1.0820,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,65,0.9630,,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,63,1.9688,,
BLBC,"Belize City, Belize",17.5990,-88.3822,62,1.8235,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,62,1.0164,,
TXFW,Fort Worth,32.7661,-97.4715,61,0.8144,,
FLHC,Hamilton County,30.3360,-82.7595,59,2.8095,,
TX37,Trinity Valley,31.4333,-95.4500,59,1.1238,,
SCSR,Savannah River Site,33.2000,-81.6167,58,1.0087,,
FLKV,Kissimmee Valley,28.2062,-81.3936,58,0.9508,,
TX23,Palmetto S.P.,29.6000,-97.5833,57,0.7550,,
VALY,Lynchburg,37.3986,-79.1942,57,0.5044,,
MSHA,Hattiesburg,31.2903,-89.3133,57,0.8906,,
LA0P,New Orleans,29.9667,-89.9833,56,0.7089,,
TXAU,Austin,30.1834,-97.6980,56,0.2712,,
AL0M,Dauphin Island,30.3000,-88.1333,55,1.1224,,
MXCV,"Catemaco, Veracruz, Mexico",18.4833,-95.0333,55,0.8333,,
TNHI,Hiwassee,35.3655,-84.9200,52,0.9541,,
FLJA,Jacksonville,30.4152,-81.4877,51,0.3592,,
FLMA,Marianna,30.7167,-85.2667,50,0.7184,,
VACA,Charlottesville,38.0668,-78.5667,50,0.4167,,
DCDC,Washington,38.8674,-77.0685,49,0.1877,,
TX2B,Cypress Creek,29.9167,-95.7500,49,0.4900,,
OKFG,Fort Gibson Reservoir,35.8500,-95.3167,48,1.2308,,
TNCO,Columbia,35.5990,-87.1613,48,0.9057,,
MDSD,Southern Dorchester County,38.3617,-76.0371,48,0.3429,,
TXTR,Trinidad,32.1500,-96.1000,47,5.8750,,
