year,Method,lat_position,term,estimate,std.error,statistic,p.value,conditional_sd,sig,Edge,Species
1975,0.05 Quantile,40.7,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1975,0.01 Quantile,40.469833,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1976,Most Distal Point,36.8,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1976,Mean of Most Distal Points,38.972222333333335,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1976,Weighted Mean of Most Distal Points,39.726666699999996,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1976,0.10 Quantile,41.883333,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1976,0.05 Quantile,41.366667,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1976,0.01 Quantile,40.05,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1977,Most Distal Point,39.633333,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1977,Mean of Most Distal Points,39.761111,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1977,Weighted Mean of Most Distal Points,39.852381,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1977,0.10 Quantile,41.316667,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1977,0.05 Quantile,41.116667,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1977,0.01 Quantile,40.516667,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1978,Most Distal Point,40.05,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1978,Mean of Most Distal Points,40.16111133333333,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1978,Weighted Mean of Most Distal Points,40.23859678947368,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1978,0.10 Quantile,41.316667,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1978,0.05 Quantile,41.183333,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1978,0.01 Quantile,40.383333,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1979,Most Distal Point,35.566667,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1979,Mean of Most Distal Points,38.42222233333333,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1979,Weighted Mean of Most Distal Points,39.74414414864865,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1979,0.10 Quantile,40.816667,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1979,0.05 Quantile,40.166667,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1979,0.01 Quantile,39.8,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
1980,Most Distal Point,39.316667,year,0.003423936767260329,0.01526189550614942,0.2243454468601711,0.823482042775329,1.4339821242647506,no,Equatorward,Urophycis tenuis
1980,Mean of Most Distal Points,39.87222233333333,year,0.007436097155883561,0.008747530371255188,0.8500796042182305,0.3996838554866825,0.8219032936497768,no,Equatorward,Urophycis tenuis
1980,Weighted Mean of Most Distal Points,39.98333340000001,year,0.004119267121443911,0.00860938226372909,0.4784625650551241,0.6345873466011798,0.8089231289897835,no,Equatorward,Urophycis tenuis
1980,0.10 Quantile,41.233333,year,0.008589532549934935,0.003599820876581511,2.3860999878671163,0.021199844151114002,0.3382331366043617,yes,Equatorward,Urophycis tenuis
1980,0.05 Quantile,41.016667,year,0.014610113254450965,0.004576684415013436,3.192292045858284,0.0025459991058464737,0.4300175975445506,yes,Equatorward,Urophycis tenuis
1980,0.01 Quantile,40.966667,year,0.016311887175966135,0.005374812548451919,3.0348755475508384,0.003951109917274268,0.5050083793751836,yes,Equatorward,Urophycis tenuis
